role,target,fold,historical_path,actual_path,historical_sha256,current_sha256,historical_hash_matches,line_ending_conversion_matches_historical_hash,features,rounds,predicted_rows
cv,osi_target_t24h,2,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold2.txt,6dce94cc13071023c908c65b6bc276484327c14fbd9cf419fedf49cb9495d4d4,2d51b3f757295dd5034d148645c4e2a5c49dab111b69368a827782a3e137c97a,False,False,163,527,5760
cv,osi_target_t24h,3,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold3.txt,2eb239d1124a2c176dad4cb18bbf226aa9e0676ec0b92839a44a39ab93a386e8,feef3a66cdf0d142e31c1ed47936818bd7817134534a5b523832450fd39bce1c,False,False,163,38,5760
cv,osi_target_t24h,4,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold4.txt,1261ebb49b605ed2cf1d12b8018984d24fd7650dced7156a3e16d2998b588554,3b5d1640f26af77ca88ef5b1fb37b6f073bddf0c744edd58c6adf706be37b91f,False,False,163,453,5760
final,osi_target_t24h,-1,versions/v1.8/models/final/lgbm_osi_t24h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_osi_t24h_v1.8_balanced_v1_final.txt,e06b13f592fafeb44e3fa2ddeabb806cd2b29b8f975042c49832fb8e3d17c3b7,d9b0a7d9980d0178885910b0dcfea6fcff195a13f661c86e4bcc477c190ff29e,False,False,163,236,9072
cv,osi_target_t48h,0,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold0.txt,d429d0e4887daa521921d9c10ef77ce127609f8cb3d4371b399ec4bc8284c5b5,bc07f68f86365d7aba33a41efe61500385ac3dc0141cc86ffc55dea00252a3c7,False,False,163,221,4608
cv,osi_target_t48h,1,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold1.txt,b7e58358c88b986ce4bd2934398265f35be8d802c98b20984a764239a295ff4b,03b70d252753c0f1ad89cad84cc59121b2fc32e023d7632b7862f90e73fe0fb8,False,False,163,15,4512
cv,osi_target_t48h,2,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold2.txt,b8002431000469f1ee70539525b4f8a821c60ceeda881af13848b5ea01426727,013bed0cd018775be10db659776c4054b66b4e04dc1f8b283f958d3aebb92b6d,False,False,163,255,4608
cv,osi_target_t48h,3,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold3.txt,2813dcb0ecb17b0e2a288eb921f20d1d28b93bc271f7553c7c804e4a42c455bc,681e75ac86433c7328fff8587faa9e406babb31863eb98512fdcf030149061ee,False,False,163,29,4608
cv,osi_target_t48h,4,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold4.txt,cd6a2ca5f2d749c6226c03b17243a97e4d9bed281d163e985ca0ef735aa0fdd2,3b026b373aa4ae08396d8011dc03e23fe0ce579098cdd4498fa4251c0843671b,False,False,163,116,4608
final,osi_target_t48h,-1,versions/v1.8/models/final/lgbm_osi_t48h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_osi_t48h_v1.8_balanced_v1_final.txt,e59ecfd4dbe69628105d2706e7937fdfd4d6667d6a3ec8a565fc8e4787256b8b,8ee46dbc126bb4676f5c0366916e88b13b33343f5899fff706d0183b0f1c35c6,False,False,163,127,9072
cv,P_t_target_t01h,0,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold0.txt,194b9800c2f7758463ae289c8e48640399ff2712c1a4c953f4ba1208ed13470d,26cf44c06364be54ca5bab5d827d272d3b51ab2de784e2a6548b57563fc1177a,False,False,163,180,6864
cv,P_t_target_t01h,1,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold1.txt,6078447d9a83574ee035fd59d31391a2253ab1b7101a9b1b040c6b8acf9bc294,ac1274735484f94ca2a57faf4df8a620854c20321ecb033fcaacc05e739cba82,False,False,163,375,6721
cv,P_t_target_t01h,2,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold2.txt,964b6a4723e987ecfdb248c2584f28de767e0e91ab74198b1da6a4731cab17a6,a4a1ec44dedc00327d10eecb9e58bdb4846a0f0a98999f7ddc6de0687265b26b,False,False,163,135,6864
cv,P_t_target_t01h,3,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold3.txt,f7015240315019a06ab50c93add8541208bfb7b296500467dd9647afda2d1889,3da34b6377dd1a7f60d2eab94b2d4170433c31391ed38479a540cc44c77934aa,False,False,163,271,6864
cv,P_t_target_t01h,4,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold4.txt,1ded9fb835dc8ed8e0eae7628e6e0582e4cf93128f1a11cc1371de9b40cb0e71,3009c642136a8b00dbd022f620af800587cf19e4602c89c5a91ee68aa62b9932,False,False,163,197,6864
final,P_t_target_t01h,-1,versions/v1.8/models/final/lgbm_P_t_t01h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_P_t_t01h_v1.8_balanced_v1_final.txt,77ccc3dc951f0e039872aa48ad0f423255185c48fe125ca32e38923a94d16288,2a603649c28e45089a811f92e94087db3460ca7e6ff97caf8da88692157dca2c,False,False,163,231,9072
cv,N_t_target_t01h,0,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold0.txt,30ab0899359e89092bc138dcb06190f06c85cc7fb68f83617a5f67a6ea8dee2b,63124932feb53359a5747d20197dfe23266eaed9dd9851e0fef1aa87718615a9,False,False,163,21,6864
cv,N_t_target_t01h,1,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold1.txt,97209b99f9780c39cda1027002dc51a1b49a561dffc8703aaa43e66d582ec64c,4dadeb392ffbd9f00b32d0b794d562449ed37a72d1a1792715eee641ab4a9059,False,False,163,327,6721
cv,N_t_target_t01h,2,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold2.txt,824dee1c90fdf46aa4714a9f22fc530179201144eeb193b455b5c3a98a4abf1b,8c447fcacdf3bf86843b90eaccb59f1aeb0d3fbe356f212ac446624238cd90e2,False,False,163,195,6864
cv,N_t_target_t01h,3,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold3.txt,9bd58c455ef6b97486c48180f0887c849a1f762ca8a22217d7292c7d26f86596,43475a2f74478bf9e04c71d1b9b563d9c21a2407926394a3aceed7cece170082,False,False,163,319,6864
cv,N_t_target_t01h,4,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold4.txt,045dafe985b75320737187dc31b34ff94df51f63e6448b340d30f108f86155cc,3b7039d8596185c05fcd4f785db6a070132b14cd3579811db6cfb9f3595ff25e,False,False,163,206,6864
final,N_t_target_t01h,-1,versions/v1.8/models/final/lgbm_N_t_t01h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_N_t_t01h_v1.8_balanced_v1_final.txt,387f582c08e18e668633e1a85c4fd936fdbe0624e9026dd497a1df89f4b1cfe0,a1917a2a2c29a9b4004561d1187d184ed2039af00adce1698c3ef92446c82005,False,False,163,213,9072
cv,D_t_target_t01h,0,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold0.txt,2f5cb8fe71740944fe229145ed809800c41d86b396b4260bf34aed4e30574114,b5631d13aa0fb7c4d356bc8956c248e9736f658d93f906bf8eb996272d106073,False,False,163,280,6864
cv,D_t_target_t01h,1,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold1.txt,482fa19c6fb558076aa558833f4a41dd6772280f6fdda5f4cdc53350d7875300,5e1382d1b6ef86af3256beaa30fe13f409234e6fa2a9e706f7c5c5dd1e049956,False,False,163,202,6721
cv,D_t_target_t01h,2,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold2.txt,ce84043ddf8b1b0c70ae393ae10dee1d684ba0ae28e4127323742d9062fa40b3,de8b03be4dc59cd0d41eb4be1f55ded51438cf2034a0a015a96403938c72b014,False,False,163,239,6864
cv,D_t_target_t01h,3,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold3.txt,29a654f40c61931aca7c718fef98213558f0d79b03ba55b197832b7135df9f33,2a399d5496a084bd4559b2c7845b12a628e29e02ef7fa78757e61fa9b61c225a,False,False,163,651,6864
cv,D_t_target_t01h,4,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold4.txt,be2cfa9ccfa31c5a550d6cad5f3b4e3068dbc81032d59d2be978dd11bac1d554,d6dd0899be778cff1c5e8b3d02c876f025e96255a49764c68a8ec4af6a9cc559,False,False,163,392,6864
final,D_t_target_t01h,-1,versions/v1.8/models/final/lgbm_D_t_t01h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_D_t_t01h_v1.8_balanced_v1_final.txt,70964acb93fc86519adce6202ec01328a3587b2f266bf128775327198493709e,52ecb7a63458ff292dca0ab179fe15aaf4143482b93c303228177647617a7311,False,False,163,352,9072
cv,R_t_target_t01h,0,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold0.txt,b371c52b5c0e73fc72465fd1755c1a5a0a281e0a25eacb42969beb98aae06af1,c2721c539bd33a1c8237888c7e6aaa90b1d384032e1e9a1288ebe7b677a97bc0,False,False,163,35,6864
cv,R_t_target_t01h,1,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold1.txt,4a45ae48cbc019a4b9cbca5fa68e7ac33842ba6e265d88a93d91afbe322ebc0a,571d03c5c471242d70baa6dd91a24daf8c94ede1c53eb0595d55c7ee574b688d,False,False,163,186,6721
cv,R_t_target_t01h,2,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold2.txt,6bf74224f604ab7ee5210e2b81452373549023332afe0b61aaa1339416d37c52,58e1ce7d0c0961d9c4bc2fbff781ea2bc26c23177227bac79c27fc39f8fadc39,False,False,163,131,6864
cv,R_t_target_t01h,3,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold3.txt,efe033def0512c2b4e02cfbacdc208cf5aa75c2ef79092ef4967fe4821182ac9,d9367f548fe878a77990d997e5748d3fccad90ae04c10f96cc8a26ccabc843c7,False,False,163,67,6864
cv,R_t_target_t01h,4,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold4.txt,acccef854343ac165870568a9a64a3110bf364e0f82f5f618f6bb7c8a81d6315,3b33538922f312a50de8194ab3dbb1a9bcb0a14baf606e3d18f33113df05bccb,False,False,163,155,6864
final,R_t_target_t01h,-1,versions/v1.8/models/final/lgbm_R_t_t01h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_R_t_t01h_v1.8_balanced_v1_final.txt,0055fd64735be4f7281ed2f290163dda96c5bbec71020ff5de839cd3c4acd49b,8d65d33fb45ee74992c62b0b090e38f5e95d996d9b686e621ca7ec984a7a4692,False,False,163,114,9072
cv,P_t_target_t06h,0,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold0.txt,7e82db541a2736556bd1af765df1abf64002fb13e8b9f2de004c0c45fb035de8,ef14629a92af631e742f8589ae7096d8286fe2217de976476d34f791cb19f49d,False,False,163,175,6624
cv,P_t_target_t06h,1,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold1.txt,eb898158957576f716410cdda3b843bc37ad96c68efb1e983ab1afa0112e857b,a1884dc2218321300fa1ba06f528df1abed4ef2a24356fd0a2d262775774a2de,False,False,163,35,6486
cv,P_t_target_t06h,2,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold2.txt,9fed7bf7959551cd8b41dbe083a7b70fef8306526b82cda94fa0e31c526619ed,0f7d1f14068d454fb31fec74747a047631fb672353702f0cb40d50c3d0b60b4e,False,False,163,201,6624
cv,P_t_target_t06h,3,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold3.txt,4d2c40ab69bfa8d4aa4e12b3849345309398882d985dc1b9a7c4be6b456bf902,9badd804c636721bc63b9da80ec0c4e0ef7d8fe68a38c4e14ac8ac5f7e081f35,False,False,163,99,6624
cv,P_t_target_t06h,4,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold4.txt,a06c579f23e567b5670188cda28ada48d59c38b3458e4bb25803fc0f1dda4bd4,8711f4c5245baf41d98b66049f1c69a68c1fe545c18cf6fd3fb1fc3e385c0b1a,False,False,163,269,6624
final,P_t_target_t06h,-1,versions/v1.8/models/final/lgbm_P_t_t06h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_P_t_t06h_v1.8_balanced_v1_final.txt,101384ea630d1dc957f9b356b01404c1316385ad87b965ba3da6291a4182795b,005a51047d14a4c74e7d8e38a4597c937f971cab601064564084ddc4a33620bd,False,False,163,155,9072
cv,N_t_target_t06h,0,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold0.txt,0dc148c96ab88c0d9bb0f834c9015172a981f119f384327786b65aa8b3f6ae42,540b48ddc17f2be79159d1b457fb2d7900742e1ce1996dfa62b668b287cc834a,False,False,163,25,6624
cv,N_t_target_t06h,1,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold1.txt,d8f8d5b0cd3d66dc193822c8f66068827d09e77e3080e797334e37d634dda388,703b69d6240dfd1399756577f0a681af8cd3162700719e4dee9d14fd6aa11686,False,False,163,94,6486
cv,N_t_target_t06h,2,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold2.txt,c0a5f599bd1e3113f3a52f5f8403ca46cff9f7dddb628489bed706f4c978a162,009f72e3cf58e94599d537a79443cfa3e01b7f21e9636da75de6713930957a94,False,False,163,458,6624
cv,N_t_target_t06h,3,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold3.txt,5d6a960826c1ac6f9a269698baf90a9f7e16507c1aeb743b5fd997d773112a84,de57f7ec2429df428057386c2da794f1ff76bb3ee8e1b25858a996b5908d3e66,False,False,163,22,6624
cv,N_t_target_t06h,4,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold4.txt,5c7856bdb0905b2c288d03054fe0786c9e00b9b7a8f9ca4b3d354b62ac61bcb6,0bdc22af3674769481497f501c7eff3ea67ca1ae835999aec38d59e412818c6e,False,False,163,54,6624
final,N_t_target_t06h,-1,versions/v1.8/models/final/lgbm_N_t_t06h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_N_t_t06h_v1.8_balanced_v1_final.txt,14c858648c6628882d8c7e9d461cd3a5c812516f73a6a2e606bb1bc60480a927,1998ba3b4e978867eece1ec9161f471815edd0237ee990f51a80557a9b19c471,False,False,163,130,9072
cv,D_t_target_t06h,0,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold0.txt,135a211e2e088b187ffe566207ddec0d19f14699cd2b612d4301248665036332,c8654dda936e36b2b4ce393d69e5306456d1122a67aec3d90632080ccef81177,False,False,163,137,6624
cv,D_t_target_t06h,1,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold1.txt,2e6825f67ac8f7697e149e59dd9d5c298a7f52d8291375e37caa6fd0cf89439a,6d1a8637d18a4e844261218896af46bbd1476be053e22c7e84ed8bceb4eaaf5f,False,False,163,167,6486
cv,D_t_target_t06h,2,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold2.txt,3681d72b410a39b1a4e1033f9c5a34913c71db29db45e5097c80b2e369ee1959,fed76391f3eb324696765c56b799e66908161ade6bb37765bd9101de7889a3e2,False,False,163,582,6624
cv,D_t_target_t06h,3,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold3.txt,2b95715ebd37443cf9c9da2f7df896a601176af60fff0a49531b120861ac12cc,cfb9858f3bc43605b0569c61d953d9030b165fd45d0e07a2b52c6bd593a24d73,False,False,163,211,6624
cv,D_t_target_t06h,4,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold4.txt,e1e1de819ac79501b89eaf77db3c9e134ffef20eb5aef78fb7d6c0294cfcd41c,c52468904ed0312cedc44b0bbc83b817dc52cf68d8086fbce2f68e660eac665f,False,False,163,194,6624
final,D_t_target_t06h,-1,versions/v1.8/models/final/lgbm_D_t_t06h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_D_t_t06h_v1.8_balanced_v1_final.txt,700e13caa3aa27a5dadeca7338e707e97e852112ce740974a699348eb21a3fdc,11cf50f7aa9fadd9b4fd8820f11fad4b24f9d305378615f3f341d21f1447b67c,False,False,163,258,9072
cv,R_t_target_t06h,0,versions/v1.8/models/cv/lgbm_R_t_t06h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_R_t_t06h_v1.8_balanced_v1_fold0.txt,97877dbae1c663277c52e34fefce0123ded7f6c65786cc7088573b9654978b6e,be34af0bc321d24b7031168d9220072647ba09edc5f85edfcda1ce7ce5a29b42,False,False,163,28,6624
