fipsCode,complete_windows,N_max_abs_difference,R_max_abs_difference,net_max_abs_difference,customers_min,customers_max,denominator_change_hours,N_min,N_max,R_min,R_max,N_and_R_positive_hours,formula_unavailable_hours
18065,213,4.675723758693106e-08,3.891179561576444e-08,6.71031784521996e-08,20610.0,20618.0,6,0.0,0.032311275,0.0,0.017287664,41,"0,1,215"
18067,213,3.875955149810521e-08,4.407299128895184e-08,4.407299128895184e-08,44794.0,44811.0,7,0.0,0.008659168,0.0,0.008651729,42,"0,1,215"
18069,213,4.55784906413934e-08,4.55784906413934e-08,5.936660129294305e-08,18356.0,18363.0,15,0.0,0.026798845,0.0,0.016448772,40,"0,1,215"
18071,213,4.778374298537152e-08,4.68945535996887e-08,7.389187149297327e-08,27381.0,27383.0,5,0.0,0.005904338,0.0,0.004589557,38,"0,1,215"
18073,213,4.166746618056063e-08,4.166746618056063e-08,4.166746618056063e-08,10421.0,10424.0,4,0.0,0.019000096,0.0,0.021079231,48,"0,1,215"
18077,213,4.913215946008835e-08,4.913215946008835e-08,4.913215946008835e-08,18560.0,18571.0,10,0.0,0.018941434,0.0,0.016589465,21,"0,1,215"
18083,213,4.755623203111896e-08,4.755623203111896e-08,4.755623203140356e-08,19709.0,19720.0,23,0.0,0.004733888,0.0,0.003804017,41,"0,1,215"
18085,213,1.689752011043203e-09,2.703603217671835e-09,2.9307439668472754e-09,28011.0,28012.0,2,0.0,0.082312901,0.0,0.052800685,61,"0,1,215"
18087,213,4.53354894092877e-08,4.53354894092877e-08,6.366612764797128e-08,16697.0,16697.0,0,0.0,0.003493642,0.0,0.00321415,78,"0,1,215"
18089,213,4.770293088256664e-08,4.949455235205892e-08,9.71974832346425e-08,284863.0,284865.0,2,0.0,0.008167669,0.0,0.00374566,116,"0,1,215"
18091,213,3.8642583469008e-08,4.384380532108974e-08,5.227148330711838e-08,38976.0,38977.0,1,0.0,0.011246237,0.0,0.010151546,65,"0,1,215"
18093,213,4.9444874774089696e-08,4.844141421967368e-08,4.944487477406259e-08,25812.0,25825.0,10,0.0,0.040320706,0.0,0.034446252,50,"0,1,215"
18095,213,4.837798359755348e-08,4.837798359524277e-08,4.945932786407574e-08,62226.0,62299.0,11,0.0,0.013039778,0.0,0.01008058,72,"0,1,215"
18097,213,4.990730751213695e-08,4.990730751213695e-08,8.777520777848065e-08,502378.0,502378.0,0,0.0,0.003462864,0.0,0.002841154,104,"0,1,215"
18099,213,4.721324321675321e-08,4.721324321675321e-08,3.54099324125683e-08,13606.0,13613.0,5,0.0,0.037722908,0.0,0.03816663,66,"0,1,215"
18101,213,4.020981036371665e-08,3.984893040882327e-08,4.033602704056334e-08,5781.0,5788.0,7,0.0,0.039151243,0.0,0.028541775,38,"0,1,215"
18103,213,3.851947493010131e-08,3.851947493006743e-08,6.1480525069935e-08,7738.0,7755.0,11,0.0,0.076677867,0.0,0.03704661,26,"0,1,215"
18105,213,4.6623797013940825e-08,4.844583850661282e-08,8.71114596267753e-08,76502.0,76520.0,14,0.0,0.011888581,0.0,0.008438322,71,"0,1,215"
18107,213,4.136810463888779e-08,4.136810463888779e-08,4.1368104638901345e-08,8205.0,8210.0,5,0.0,0.009058413,0.0,0.007189861,52,"0,1,215"
18109,213,4.989749897556868e-08,4.9897498974991005e-08,5.037515375216732e-08,32517.0,32525.0,17,0.0,0.012760985,0.0,0.012504741,48,"0,1,215"
18111,213,4.992764110131609e-10,4.992764109589508e-10,9.083453850200485e-10,2764.0,2764.0,0,0.0,0.038350217,0.0,0.060781476,57,"0,1,215"
18113,213,4.3052260800802416e-08,3.9472220727264e-08,7.13895478396978e-08,18542.0,18590.0,7,0.0,0.003396182,0.0,0.003845048,53,"0,1,215"
18117,213,3.990515664090144e-08,3.99051566408269e-08,6.427718040614148e-08,8927.0,8928.0,3,0.0,0.070601852,0.0,0.06276135,31,"0,1,215"
18121,213,4.818768067599668e-08,3.994306556471779e-08,4.8436957971972373e-08,7489.0,7497.0,14,0.0,0.049544141,0.0,0.028152101,35,"0,1,215"
18123,213,4.069264069263734e-08,4.069264069263734e-08,4.069264069263734e-08,4927.0,4930.0,4,0.0,0.00250169,0.0,0.002231237,14,"0,1,215"
18125,213,4.265077645359015e-08,4.265077645359015e-08,4.265077645359015e-08,7383.0,7385.0,9,0.0,0.026224329,0.0,0.026224329,31,"0,1,215"
18127,213,4.901075835827729e-08,4.901075835769792e-08,7.856718207821856e-08,64476.0,64479.0,3,0.0,0.02483573,0.0,0.013415637,91,"0,1,215"
18129,213,4.595123687488656e-08,4.595123687488656e-08,5.998576639030653e-08,14984.0,14988.0,7,0.0,0.007674341,0.0,0.007674341,36,"0,1,215"
18131,213,3.946510110892985e-08,3.946510110892985e-08,3.946510110892985e-08,4088.0,4090.0,1,0.0,0.060635697,0.0,0.07008965,21,"0,1,215"
18133,213,4.195618734418948e-08,4.195618734418948e-08,4.195618734423014e-08,18851.0,18855.0,10,0.0,0.008114989,0.0,0.006311658,38,"0,1,215"
18135,213,4.9513733917405146e-08,4.9513733917405146e-08,4.951373391741531e-08,12094.0,12146.0,7,0.0,0.036199712,0.0,0.027085054,45,"0,1,215"
18137,213,1.4881652935801572e-08,1.4881652935801572e-08,1.4881652935815125e-08,15286.0,15294.0,7,0.0,0.018419217,0.0,0.016849769,46,"0,1,215"
18139,213,3.962159154146717e-08,3.962159154130454e-08,3.9622148024793385e-08,9580.0,9586.0,5,0.0,0.021076795,0.0,0.021320256,42,"0,1,215"
18141,213,4.036433365292409e-08,4.9427288227046965e-08,6.63787381381846e-08,130334.0,130431.0,11,0.0,0.014475638,0.0,0.010853759,83,"0,1,215"
18143,213,2.8198116074137772e-08,2.8198116074137772e-08,2.860376785054203e-08,5482.0,5486.0,5,0.0,0.013126709,0.0,0.007900334,26,"0,1,215"
18145,213,4.8708765047822194e-08,4.880150132219069e-08,8.717719126282812e-08,23446.0,23453.0,5,0.0,0.032286957,0.0,0.031490802,55,"0,1,215"
18147,213,7.275223061072272e-09,7.275223061072272e-09,7.574925646300677e-09,11653.0,11656.0,3,0.0,0.005233805,0.0,0.005176605,23,"0,1,215"
18149,213,3.69701529972415e-08,3.69701529972415e-08,3.728317030365219e-08,6643.0,6645.0,3,0.0,0.072836719,0.0,0.079068834,53,"0,1,215"
18151,213,3.988638669072465e-08,3.9886386691300634e-08,4.015865287076807e-08,13138.0,13145.0,6,0.0,0.020470284,0.0,0.021434188,109,"0,1,215"
18153,213,4.2207588585763296e-08,4.2207588585763296e-08,5.779185623714614e-08,10627.0,10633.0,23,0.0,0.019757241,0.0,0.019725907,28,"0,1,215"
18155,213,4.919555857694005e-08,4.919555857694005e-08,4.919555857694005e-08,5881.0,5884.0,5,0.0,0.002493059,0.0,0.002493059,23,"0,1,215"
18157,213,4.834852331210874e-08,4.834852331210874e-08,6.694956975155145e-08,96105.0,96149.0,8,0.0,0.003554695,0.0,0.002930822,71,"0,1,215"
18159,213,3.9856665852273606e-08,1.996417521575621e-08,3.9856665852273606e-08,4092.0,4095.0,6,0.0,0.026455026,0.0,0.026455026,21,"0,1,215"
18161,213,4.7335811648218165e-08,4.733581164808264e-08,4.766418835207146e-08,4303.0,4305.0,3,0.0,0.007978929,0.0,0.007202602,32,"0,1,215"
18163,213,4.786735438894223e-08,4.810508182601607e-08,6.462433969247407e-08,99070.0,99077.0,6,0.0,0.004495093,0.0,0.004007227,92,"0,1,215"
18165,213,4.841540329846678e-08,4.4199068091934355e-08,6.500215407510916e-08,8509.0,8513.0,5,0.0,0.067669173,0.0,0.060894424,34,"0,1,215"
18167,213,4.8898785576614087e-08,4.8966403433260816e-08,7.48164642621636e-08,53429.0,53441.0,18,0.0,0.009350575,0.0,0.005458141,58,"0,1,215"
18169,213,1.52141794508055e-08,1.6489206958743665e-08,1.6489206958743665e-08,17181.0,17187.0,17,0.0,0.054459766,0.0,0.049106883,23,"0,1,215"
18171,213,3.360367667177948e-10,4.901324693329379e-10,4.901324693329379e-10,1232.0,1234.0,2,0.0,0.01784266,0.0,0.015679913,10,"0,1,215"
18173,213,4.911944411165747e-08,4.911944411165747e-08,6.725370392614123e-08,33384.0,33391.0,6,0.0,0.008406969,0.0,0.009665019,52,"0,1,215"
18175,213,4.9851561572259785e-08,4.9851561572259785e-08,6.985540280876883e-08,14030.0,14039.0,5,0.0,0.027684783,0.0,0.021962628,27,"0,1,215"
18177,213,4.761079932561903e-08,4.761079932561903e-08,5.39891467532656e-08,28866.0,28878.0,11,0.0,0.037251235,0.0,0.030071109,52,"0,1,215"
18179,213,4.5134771954789756e-08,4.513477195508791e-08,4.5411034700799935e-08,8432.0,8439.0,12,0.0,0.01924749,0.0,0.019484626,27,"0,1,215"
18181,213,4.409599721242561e-08,4.409599721242561e-08,4.4432161679531373e-08,7652.0,7653.0,2,0.0,0.033799382,0.0,0.029966462,37,"0,1,215"
18183,213,3.804143126177081e-08,2.5360954174509357e-08,3.804143125945333e-08,10611.0,10620.0,6,0.0,0.043123214,0.0,0.038631867,15,"0,1,215"
39017,213,4.5768119720867944e-08,4.838680168684135e-08,4.591818065505647e-08,145713.0,145756.0,10,0.0,0.009695215,0.0,0.009681492,73,"0,1,215"
39023,213,4.684416741813013e-08,4.684416741813013e-08,7.996867633809019e-08,63207.0,63211.0,1,0.0,0.05032352,0.0,0.013552494,98,"0,1,215"
39025,213,4.844720496894212e-08,4.5662518059034837e-08,5.107660455371102e-08,100586.0,100625.0,8,0.0,0.014672406,0.0,0.014738677,59,"0,1,215"
39027,213,3.542651239429992e-08,2.8341209915445356e-08,3.542651239429992e-08,18408.0,18409.0,1,0.0,0.008293045,0.0,0.011769605,31,"0,1,215"
39029,213,1.9205052266034277e-08,1.9205052266034277e-08,1.941306615720756e-08,47603.0,47634.0,8,0.0,0.063135715,0.0,0.017255742,72,"0,1,215"
39031,213,4.1913439626280614e-08,3.5576645222127625e-08,4.1952164000526315e-08,21917.0,21950.0,9,0.0,0.133275579,0.0,0.037175512,79,"0,1,215"
39033,213,4.5945051307505046e-08,3.86492915503098e-08,5.398696866272957e-08,16108.0,16121.0,6,0.0,0.070453135,0.0,0.029360646,64,"0,1,215"
39035,213,4.752053492953324e-08,4.946305274394769e-08,9.679405850398874e-08,532816.0,533603.0,3,0.0,0.05802691,0.0,0.015269779,119,"0,1,215"
39037,213,4.86576852590199e-08,4.86576852590199e-08,8.973153704261054e-08,23827.0,23827.0,0,0.0,0.048852143,0.0,0.049117947,39,"0,1,215"
39039,213,4.9378771742986886e-08,4.937877174414563e-08,5.6290145143548295e-08,18780.0,18786.0,6,0.0,0.036782711,0.0,0.035948756,57,"0,1,215"
39045,213,4.935369094729734e-08,4.8855560309566206e-08,7.924092198278154e-08,73948.0,74051.0,57,0.0,0.039839878,0.0,0.014111396,102,"0,1,215"
39049,213,4.927267288894633e-08,4.9338027568662855e-08,9.125090498443447e-08,580193.0,580906.0,54,0.0,0.035950278,0.0,0.012698249,121,"0,1,215"
39051,213,4.0682671892858084e-08,4.068267189401005e-08,6.81365343798748e-08,20410.0,20410.0,0,0.0,0.041613588,0.0,0.02988731,60,"0,1,215"
39053,213,4.9293119698393725e-08,4.9293119698393725e-08,8.309770656615093e-08,21206.0,21247.0,8,0.0,0.011396816,0.0,0.011491005,36,"0,1,215"
39055,213,4.873547047197965e-08,4.95812395309852e-08,7.942122187390956e-08,39772.0,39808.0,3,0.0,0.094662714,0.0,0.04440481,109,"0,1,215"
39059,213,4.664768852118603e-08,4.664768852118603e-08,7.168718427733275e-08,22470.0,22505.0,9,0.0,0.100041493,0.0,0.031369934,58,"0,1,215"
39061,213,4.8971383892353374e-08,4.79621924668713e-08,8.379181235389438e-08,425170.0,425291.0,10,0.0,0.001865416,0.0,0.002660923,94,"0,1,215"
39063,213,4.666798348335207e-08,4.564157584655752e-08,7.026243185075485e-08,35388.0,35450.0,6,0.0,0.027605498,0.0,0.020262767,50,"0,1,215"
39065,213,3.343500123650662e-08,3.343500123592386e-08,3.369826614973981e-08,12115.0,12132.0,7,0.0,0.022732377,0.0,0.03214904,49,"0,1,215"
39069,213,1.852531341457915e-08,1.852531341457915e-08,1.852531341457915e-08,7629.0,7631.0,1,0.0,0.02001136,0.0,0.012408791,46,"0,1,215"
39073,213,4.827264239030992e-08,4.9634900181154396e-08,4.9634900181154396e-08,17848.0,17889.0,28,0.0,0.02031746,0.0,0.02054155,70,"0,1,215"
39075,213,2.1993480871508836e-08,4.1232958929946504e-08,4.165517734130292e-08,11656.0,11673.0,6,0.0,0.123667438,0.0,0.027980222,47,"0,1,215"
39077,213,4.8184658665105366e-08,4.383828599762373e-08,7.507062879867594e-08,28902.0,28920.0,12,0.0,0.076325961,0.0,0.034173844,77,"0,1,215"
39081,213,3.777059457340799e-08,4.1456055797762614e-08,4.145605579891458e-08,34007.0,34030.0,8,0.0,0.073590784,0.0,0.018829292,73,"0,1,215"
39085,213,4.6597187950572316e-08,4.6971734902233125e-08,8.055181934297248e-08,103330.0,103343.0,2,0.0,0.014511546,0.0,0.004489903,90,"0,1,215"
39087,213,4.9755395955753876e-08,4.809557605874222e-08,8.752945853091298e-08,35212.0,35233.0,12,0.0,0.017305239,0.0,0.017550831,53,"0,1,215"
39089,213,4.6976413917515855e-08,4.6976413917444704e-08,9.127948260268277e-08,86744.0,86863.0,10,0.0,0.083077112,0.0,0.046687932,111,"0,1,215"
39091,213,4.9310997027825535e-08,4.474839581222929e-08,5.068900297216334e-08,14804.0,14805.0,1,0.0,0.102539854,0.0,0.068224804,69,"0,1,215"
39093,213,4.949202756815592e-08,4.852829132912298e-08,5.842669684275417e-08,133300.0,133439.0,5,0.0,0.031699878,0.0,0.01082642,94,"0,1,215"
39095,213,1.8703207571924073e-08,2.6354519760447706e-08,2.6354519760759415e-08,208278.0,208342.0,2,0.0,0.01272498,0.0,0.004615626,81,"0,1,215"
39097,213,4.8965836054814073e-08,4.8965836054814073e-08,8.842563597864641e-08,22341.0,22362.0,8,0.0,0.033734688,0.0,0.030138908,71,"0,1,215"
39099,213,4.64575423746569e-08,4.85080200590343e-08,6.377964891066376e-08,112464.0,112470.0,3,0.0,0.01456092,0.0,0.009451409,85,"0,1,215"
39101,213,4.954863019075576e-08,4.954863019075576e-08,6.841995080511138e-08,25474.0,25480.0,7,0.0,0.021575015,0.0,0.021287313,76,"0,1,215"
39103,213,4.749605698040597e-08,4.6663451927089837e-08,7.704509608854498e-08,66361.0,66362.0,1,0.0,0.052238731,0.0,0.023718562,66,"0,1,215"
39105,213,4.696247049187474e-08,4.696247049187474e-08,4.696247049187474e-08,13834.0,13851.0,7,0.0,0.021035131,0.0,0.018481037,47,"0,1,215"
39107,213,4.325810887324962e-08,4.325810887324962e-08,4.3258108874984344e-08,16484.0,16484.0,0,0.0,0.120258028,0.0,0.066367387,42,"0,1,215"
39109,213,4.24634368437752e-08,4.99059328633528e-08,9.178049098006103e-08,35873.0,35876.0,3,0.0,0.028673635,0.0,0.015154472,50,"0,1,215"
39111,213,3.634394628545851e-08,4.113263139650185e-08,4.113263139650185e-08,7693.0,7697.0,17,0.0,0.071552322,0.0,0.044481982,50,"0,1,215"
39113,213,4.690506180958813e-08,4.799015109010796e-08,7.600492445495353e-08,269133.0,269133.0,0,0.0,0.033003509,0.0,0.020331955,100,"0,1,215"
39115,213,3.057452637497248e-08,3.0574526372655e-08,3.0574526372655e-08,8636.0,8649.0,7,0.0,0.20429983,0.0,0.204141983,47,"0,1,215"
39117,213,4.7208087387213865e-08,4.7208087387213865e-08,4.737573782912343e-08,9826.0,9828.0,1,0.0,0.379164122,0.0,0.119716399,92,"0,1,215"
39119,213,4.946356312762603e-08,4.76664366127108e-08,8.916074306808571e-08,44876.0,44917.0,13,0.0,0.089479977,0.0,0.029540189,84,"0,1,215"
39121,213,4.703593085347488e-08,4.703593085347488e-08,4.703593085347488e-08,7359.0,7368.0,8,0.0,0.038424983,0.0,0.020459895,40,"0,1,215"
39123,213,2.4553885709052183e-08,2.1825676185807598e-08,2.480506667483593e-08,32647.0,32671.0,1,0.0,0.008886576,0.0,0.008886576,50,"0,1,215"
39125,213,2.8276237085364292e-08,2.8276237085364292e-08,2.8276237085364292e-08,9803.0,9811.0,8,0.0,0.088363241,0.0,0.056688418,48,"0,1,215"
39127,213,4.764390314629857e-08,4.764390314629857e-08,7.519300491800517e-08,18362.0,18403.0,30,0.0,0.090800348,0.0,0.046958823,70,"0,1,215"
39129,213,4.546967010354482e-08,4.5829091825137376e-08,7.804226724072766e-08,30446.0,30482.0,35,0.0,0.018089378,0.0,0.015506675,74,"0,1,215"
39131,213,4.665561083472432e-08,4.7476891778353925e-08,4.7476891778353925e-08,15066.0,15091.0,23,0.0,0.016049874,0.0,0.016138303,58,"0,1,215"
39133,213,3.358441955415384e-08,3.358441955415384e-08,6.65662321783333e-08,76335.0,76337.0,2,0.0,0.055683644,0.0,0.023977328,105,"0,1,215"
39135,213,4.5874587458746363e-08,3.821460254585274e-08,6.910730127292759e-08,16157.0,16160.0,2,0.0,0.018834839,0.0,0.015699138,50,"0,1,215"
39137,213,4.6705306860688275e-08,4.8678880596632747e-08,4.867888059836747e-08,16211.0,16223.0,10,0.0,0.049819286,0.0,0.031336046,43,"0,1,215"
39139,213,4.8020088493907695e-08,4.861914896322919e-08,6.6596417937006e-08,53563.0,53619.0,9,0.0,0.096648931,0.0,0.032658141,94,"0,1,215"
39141,213,4.7578186066083437e-08,4.844234752194405e-08,8.531224780644981e-08,38779.0,38857.0,48,0.0,0.009742394,0.0,0.018217424,94,"0,1,215"
39143,213,4.9018319231073065e-08,4.9018319231073065e-08,8.300610641065408e-08,24333.0,24346.0,8,0.0,0.031510259,0.0,0.024700486,60,"0,1,215"
39145,213,4.996534996419701e-08,4.996534996534898e-08,4.996534996650772e-08,38441.0,38487.0,12,0.0,0.011634357,0.0,0.011503812,61,"0,1,215"
39147,213,4.8647579488700484e-08,4.7916203463524816e-08,9.31300023664707e-08,26949.0,26986.0,12,0.0,0.0198448,0.0,0.013790036,59,"0,1,215"
39149,213,4.701562460432716e-08,4.701562460432716e-08,7.649218769781175e-08,13161.0,13169.0,4,0.0,0.30001266,0.0,0.186757817,62,"0,1,215"
39151,213,4.827722124301829e-08,4.817012913779805e-08,7.791332376724358e-08,179089.0,179308.0,9,0.0,0.035207547,0.0,0.015321459,107,"0,1,215"
39153,213,4.868811113238852e-08,4.925279857254068e-08,4.925279857254068e-08,224549.0,224553.0,2,0.0,0.04235898,0.0,0.019906568,96,"0,1,215"
39155,213,4.88024774606045e-08,4.88024774606045e-08,6.240020645158093e-08,80082.0,80082.0,0,0.0,0.034040109,0.0,0.029881871,69,"0,1,215"
39157,213,4.8137422341030736e-08,4.587458746105707e-08,5.1233559419300694e-08,40357.0,40422.0,11,0.0,0.128848074,0.0,0.029596095,81,"0,1,215"
39159,213,4.7874170557882267e-08,4.7874170557882267e-08,8.484729322380045e-08,20343.0,20347.0,6,0.0,0.067780782,0.0,0.071450807,73,"0,1,215"
39161,213,4.4360974665504517e-08,4.4360974670132705e-08,7.781951266723662e-08,13827.0,13848.0,7,0.0,0.064419253,0.0,0.029086006,43,"0,1,215"
39163,213,4.7767487387995406e-08,4.7767487387995406e-08,4.81625630588769e-08,8848.0,8858.0,7,0.0,0.02849936,0.0,0.025073413,37,"0,1,215"
39165,213,4.939605295999197e-08,4.783882845487238e-08,8.70238255479453e-08,118853.0,118864.0,5,0.0,0.002843849,0.0,0.00253254,77,"0,1,215"
39167,213,4.7338022879301115e-08,4.929614631341055e-08,5.4719584449314956e-08,32839.0,32874.0,8,0.0,0.013413694,0.0,0.007660619,63,"0,1,215"
39169,213,4.6242864964392044e-08,4.6242864962088115e-08,8.76221090749898e-08,42613.0,42664.0,9,0.0,0.039309984,0.0,0.022097115,76,"0,1,215"
39171,213,4.703196347031731e-08,4.7031963470330865e-08,7.351598173515987e-08,9343.0,9344.0,2,0.0,0.079944349,0.0,0.052404395,38,"0,1,215"
39173,213,4.63302450883754e-08,4.9297810008010385e-08,8.77981470522996e-08,50722.0,50758.0,9,0.0,0.02116715,0.0,0.020489446,85,"0,1,215"
39175,213,3.991253089941321e-08,1.823029748980378e-08,4.0200588763894193e-08,8745.0,8765.0,9,0.0,0.031793117,0.0,0.023485973,42,"0,1,215"
42005,213,4.764073405373316e-08,4.836692896410447e-08,8.254691135226075e-08,37010.0,37110.0,8,0.0,0.071052729,0.0,0.018099832,95,"0,1,215"
42007,213,4.647546439160222e-08,4.647546439218159e-08,8.169056695032806e-08,88144.0,88144.0,0,0.0,0.079249108,0.0,0.0223687,95,"0,1,215"
42009,213,4.574295760736256e-08,4.574295760737611e-08,6.62834113671716e-08,16873.0,16874.0,1,0.0,0.038483573,0.0,0.039528268,43,"0,1,215"
42013,213,4.7807281880349545e-08,4.78072818803902e-08,5.2192718119619004e-08,56414.0,56416.0,1,0.0,0.005778707,0.0,0.004159724,61,"0,1,215"
42015,213,4.7176739108863803e-08,4.6585891062088646e-08,8.501230451693975e-08,33590.0,33592.0,4,0.0,0.007283697,0.0,0.006579143,58,"0,1,215"
42019,213,4.4712986818827664e-08,4.9402771956004476e-08,7.641008863853408e-08,97812.0,97815.0,2,0.0,0.057003329,0.0,0.016429477,102,"0,1,215"
42021,213,4.784401736718084e-08,4.34686060330592e-08,8.696893510093482e-08,62295.0,70726.0,34,0.0,0.040550755,0.0,0.020040529,85,"0,1,215"
42023,213,1.0462068449049633e-08,1.0462068449049633e-08,1.0462068449049633e-08,4450.0,4451.0,1,0.0,0.036171647,0.0,0.04059013,10,"0,1,215"
42025,213,4.652592943693076e-08,4.8944470776974246e-08,9.305185887357014e-08,54854.0,54854.0,0,0.0,0.00545691,0.0,0.004666934,38,"0,1,215"
42027,213,3.7016574585636895e-08,4.7927246222527356e-08,7.96688214367172e-08,69504.0,69513.0,1,0.0,0.003855893,0.0,0.001721723,57,"0,1,215"
42029,213,4.9170817867729994e-08,4.9170817867729994e-08,6.767946097152798e-08,236277.0,236277.0,0,0.0,0.032049953,0.0,0.009237745,111,"0,1,215"
42031,213,4.5629206971861355e-08,4.5629206971861355e-08,7.718539651450543e-08,22431.0,22433.0,3,0.0,0.054550048,0.0,0.047178093,89,"0,1,215"
42033,213,4.2889313396670325e-08,4.879368851112365e-08,5.58444180396271e-08,42926.0,42928.0,4,0.0,0.039804008,0.0,0.016105235,80,"0,1,215"
42035,213,3.6353924806750097e-09,6.543706465212307e-09,7.002136542504501e-09,30579.0,30579.0,0,0.0,0.005319555,0.0,0.008807787,36,"0,1,215"
42039,213,3.5539262700969986e-08,4.487403555137454e-08,4.4874035552526503e-08,46917.0,46919.0,4,0.0,0.026173324,0.0,0.026009918,67,"0,1,215"
42041,213,4.927015528930574e-08,4.910066670174283e-08,7.997614806240299e-08,133040.0,133045.0,8,0.0,0.005659782,0.0,0.004464688,56,"0,1,215"
42043,213,4.740328205682533e-08,4.772860399938038e-08,7.662368091414481e-08,147956.0,147956.0,0,0.0,0.006256365,0.0,0.004269287,64,"0,1,215"
42045,213,4.5675553220646985e-08,4.934080504332425e-08,5.9308088515304477e-08,239838.0,239838.0,0,0.0,0.001780368,0.0,0.001245285,94,"0,1,215"
42047,213,3.0788881046016326e-08,3.0788881046165404e-08,3.0788881046016326e-08,19834.0,19835.0,2,0.0,0.040032268,0.0,0.03092333,46,"0,1,215"
42049,213,4.425432802245661e-08,4.9791094663964586e-08,8.327629840847815e-08,125653.0,125655.0,2,0.0,0.018704803,0.0,0.011332707,114,"0,1,215"
42051,213,4.7589382574640703e-08,4.758938257464748e-08,8.456459895988454e-08,71593.0,71596.0,4,0.0,0.016039519,0.0,0.011807321,87,"0,1,215"
42053,213,4.840275754927289e-08,4.840275754927289e-08,5.159724245072954e-08,6859.0,6866.0,2,0.0,0.243055556,0.0,0.128642191,56,"0,1,215"
42055,213,4.8847577560996237e-08,4.9161259976172926e-08,7.766972420760268e-08,65191.0,65199.0,7,0.0,0.003343969,0.0,0.003021852,49,"0,1,215"
42057,213,4.3346879254405057e-10,3.8553714702753124e-10,6.024799416954815e-10,6398.0,6398.0,0,0.0,0.00276128,0.0,0.002865479,8,"0,1,215"
42059,213,4.816431900494633e-08,4.816431900494633e-08,7.775352149163548e-08,19239.0,19239.0,0,0.0,0.037372005,0.0,0.025001299,62,"0,1,215"
42061,213,6.291591046568958e-09,6.291591046568958e-09,6.291591046568958e-09,13774.0,13775.0,1,0.0,0.010429522,0.0,0.009098609,29,"0,1,215"
42063,213,4.7854257184245315e-08,4.785425718886673e-08,7.781639684165015e-08,29262.0,43733.0,14,0.0,0.113732827,0.0,0.051868803,93,"0,1,215"
42065,213,4.3251450572094456e-08,4.3251450572094456e-08,5.674854942789442e-08,24496.0,24588.0,39,0.0,0.049783442,0.0,0.03710633,69,"0,1,215"
