fipsCode,countyName,horizon,target_timestamp,actual_osi,primary_prediction,C1_prediction,actual_P_t,pred_C1_P_t,weighted_error_P_t,actual_N_t,pred_C1_N_t,weighted_error_N_t,actual_D_t,pred_C1_D_t,weighted_error_D_t,actual_R_t,pred_C1_R_t,weighted_error_R_t
39117,Morrow County,6,2026-03-14 06:00:00,0.4088,0.2266315800178689,0.2220565707810508,0.610726644,0.3373409665680799,-0.10935427097276805,0.002476423,0.0014430073736393287,-0.000361695469226235,0.680711039,0.3517887907239249,-0.08223056206901877,0.065167243,0.013320661079361622,0.005184658192063838
39119,Muskingum County,6,2026-03-14 06:00:00,0.1758,0.20952249980765322,0.2134745256335609,0.267532525,0.3292679468833268,0.024694168753330706,0.0,0.0009092960564763541,0.0003182536197667239,0.278864433,0.3296089479700733,0.012686128742518316,0.009118992,0.009531437320548468,-4.124453205484689e-05
42053,Forest County,6,2026-03-14 07:00:00,0.4704,0.08365506190225146,0.08954846645750346,0.717074592,0.12708775194884783,-0.2359947360204609,0.0,0.004985100280490124,0.0017447850981715434,0.785693473,0.15181769469998174,-0.15846894457500457,0.128642191,0.009858430952026574,0.011878376004797343
54007,Braxton County,6,2026-03-17 11:00:00,0.1154,0.024808294580296215,0.02646711493861873,0.186941754,0.04814577071050938,-0.05551839331579625,0.029605401,0.002721863613290019,-0.009409238085348492,0.121398918,0.02675998538128214,-0.023659733154679462,0.000670944,0.004338419555570649,-0.00036674755555706493
54013,Calhoun County,6,2026-03-16 21:00:00,0.191,0.038915496507603835,0.03178001938735094,0.328919861,0.05286544771543151,-0.1104217653138274,0.065350368,0.012094599841614971,-0.018639518855434762,0.146186605,0.026311047211359625,-0.029968889447160092,0.0,0.0017703144622680488,-0.00017703144622680488
54015,Clay County,6,2026-03-17 08:00:00,0.1817,0.03970621272405572,0.03495845954645551,0.291515779,0.04974827210968761,-0.09670700275612495,0.041041559,0.006830762886636807,-0.011973778639677116,0.204474909,0.05175765327767249,-0.03817931393058188,0.00344887,0.0027102962716053646,7.385737283946356e-05
18013,Brown County,24,2026-03-15 13:00:00,0.1379,0.013982365074198687,0.013982365074198687,0.242625714,0.02165542038609489,-0.08838811744556205,0.058151512,0.00772020132725095,-0.017650958735462168,0.086290851,0.011773120197883003,-0.01862943270052925,0.010269376,0.003251535942478515,0.0007017840057521485
39115,Morgan County,24,2026-03-18 11:00:00,0.3277,0.0,0.0,0.612899491,0.00026141463321508336,-0.24505523054671396,0.204145438,9.106964755813728e-05,-0.07141902892335465,0.104060522,0.0003972993212931068,-0.025915805669676724,0.149065926,0.00010857533556207506,0.014895735066443792
39117,Morrow County,24,2026-03-15 17:00:00,0.1347,0.09027171064381857,0.09027171064381857,0.222674537,0.12712716655542558,-0.038218948177829774,0.044948775,0.002747281801623435,-0.014770522619431799,0.126331501,0.15591061968822367,0.007394779672055915,0.017267114,0.005183595309757717,0.0012083518690242283
39119,Muskingum County,24,2026-03-15 00:00:00,0.0411,0.10194186481965857,0.10194186481965857,0.05571645,0.15512136588777015,0.039761966355108064,3.71e-05,0.0007410634686753495,0.0002463872140363723,0.075580705,0.15958903282799541,0.021002081956998854,0.000816848,0.0026331195648472616,-0.00018162715648472618
42053,Forest County,24,2026-03-15 13:00:00,0.075,0.016365879098522017,0.016365879098522017,0.142191142,0.02654122728832167,-0.04625996588467133,0.046522922,0.007555335821412167,-0.013638655162505743,0.026078089,0.013289817511936771,-0.003197067872015807,0.046522922,0.0021743373228510147,0.004434858467714899
54007,Braxton County,24,2026-03-17 11:00:00,0.1154,0.03452010771323031,0.03452010771323031,0.186941754,0.050111763079023215,-0.05473199636839071,0.029605401,0.00187044954041742,-0.009707233010853902,0.121398918,0.05680896802954345,-0.016147487492614136,0.000670944,0.003814968649109371,-0.0003144024649109371
54013,Calhoun County,24,2026-03-16 21:00:00,0.191,0.04148097147478212,0.04148097147478212,0.328919861,0.0732127648485365,-0.10228283846058539,0.065350368,0.011828211710310052,-0.018732754701391484,0.146186605,0.03287428836453684,-0.028328079158865788,0.0,0.0016258065437520727,-0.0001625806543752073
54015,Clay County,24,2026-03-17 08:00:00,0.1817,0.049614390425183834,0.049614390425183834,0.291515779,0.07846228185349649,-0.0852213988586014,0.041041559,0.007783248672249844,-0.011640408614712553,0.204474909,0.06344320173196769,-0.03525792681700808,0.00344887,0.0035545978449413314,-1.0572784494133122e-05
18013,Brown County,48,2026-03-16 04:00:00,0.0774,0.006272276603813152,0.006272276603813152,0.12257702,0.0088859692008507,-0.04547642031965972,0.018384992,0.00133133631299066,-0.005968779490453269,0.08783594,0.00939107545748504,-0.01961121613562874,0.0,0.0009584765044511862,-9.584765044511863e-05
39115,Morgan County,48,2026-03-18 11:00:00,0.3277,0.0,0.0,0.612899491,0.0002152176849740808,-0.24507370932601036,0.204145438,0.00010160239852158081,-0.07141534246051745,0.104060522,0.00028162600671762243,-0.025944723998320596,0.149065926,0.00020871606098825813,0.014885720993901173
39117,Morrow County,48,2026-03-16 00:00:00,0.0406,0.03949138656302716,0.03949138656302716,0.061876654,0.059657096174429984,-0.0008878231302280077,0.0,0.001083271662057412,0.0003791450817200942,0.063640681,0.061369306516736694,-0.0005678436208158277,0.000237465,0.0009292361764910055,-6.917711764910055e-05
39119,Muskingum County,48,2026-03-16 07:00:00,0.0168,0.04105285166773262,0.04105285166773262,0.02703726,0.06230489928363885,0.014107055713455541,0.005256008,0.0019134019495258686,-0.001169912117665946,0.016540092,0.062176420603369024,0.011409082150842256,0.0,0.0008290387889923628,-8.290387889923628e-05
42053,Forest County,48,2026-03-17 11:00:00,0.0376,0.012756160022322969,0.012756160022322969,0.060751748,0.015501735623331266,-0.018100004950667496,0.011849262,0.0019235179514005105,-0.003474010417009821,0.036761849,0.024399456816932775,-0.003090598045766806,0.0,0.0021762971423291,-0.00021762971423291
54007,Braxton County,48,2026-03-17 11:00:00,0.1154,0.0206052799518018,0.0206052799518018,0.186941754,0.03358512533234821,-0.06134265146706071,0.029605401,0.0012933550178731046,-0.009909216093744412,0.121398918,0.02805752846477934,-0.023335347383805164,0.000670944,0.002958265535879082,-0.00022873215358790817
54013,Calhoun County,48,2026-03-16 21:00:00,0.191,0.04870872483780176,0.04870872483780176,0.328919861,0.08593707612163821,-0.09719311395134472,0.065350368,0.01132775084789955,-0.018907916003235156,0.146186605,0.04223971889870698,-0.025986721525323254,0.0,0.0019074813229511438,-0.0001907481322951144
54015,Clay County,48,2026-03-17 08:00:00,0.1817,0.04198052596048532,0.04198052596048532,0.291515779,0.059170674548151246,-0.0929380417807395,0.041041559,0.007600180566813942,-0.011704482451615119,0.204474909,0.06347412834160565,-0.03525019516459859,0.00344887,0.0021633914256147142,0.00012854785743852859
