role,target_kind,target,fold,rounds,path,sha256
cv,direct_osi,osi_target_t24h,1,13,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold1.txt,b80f01539e46745fd3ba15dbfb8749687ea8a54a0e628d1167ca8d4746dd1c12
cv,direct_osi,osi_target_t24h,2,527,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold2.txt,6dce94cc13071023c908c65b6bc276484327c14fbd9cf419fedf49cb9495d4d4
cv,direct_osi,osi_target_t24h,3,38,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold3.txt,2eb239d1124a2c176dad4cb18bbf226aa9e0676ec0b92839a44a39ab93a386e8
cv,direct_osi,osi_target_t24h,4,453,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold4.txt,1261ebb49b605ed2cf1d12b8018984d24fd7650dced7156a3e16d2998b588554
final,direct_osi,osi_target_t24h,-1,236,versions/v1.8/models/final/lgbm_osi_t24h_v1.8_balanced_v1_final.txt,e06b13f592fafeb44e3fa2ddeabb806cd2b29b8f975042c49832fb8e3d17c3b7
cv,direct_osi,osi_target_t48h,0,221,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold0.txt,d429d0e4887daa521921d9c10ef77ce127609f8cb3d4371b399ec4bc8284c5b5
cv,direct_osi,osi_target_t48h,1,15,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold1.txt,b7e58358c88b986ce4bd2934398265f35be8d802c98b20984a764239a295ff4b
cv,direct_osi,osi_target_t48h,2,255,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold2.txt,b8002431000469f1ee70539525b4f8a821c60ceeda881af13848b5ea01426727
cv,direct_osi,osi_target_t48h,3,29,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold3.txt,2813dcb0ecb17b0e2a288eb921f20d1d28b93bc271f7553c7c804e4a42c455bc
cv,direct_osi,osi_target_t48h,4,116,versions/v1.8/models/cv/lgbm_osi_t48h_v1.8_balanced_v1_fold4.txt,cd6a2ca5f2d749c6226c03b17243a97e4d9bed281d163e985ca0ef735aa0fdd2
final,direct_osi,osi_target_t48h,-1,127,versions/v1.8/models/final/lgbm_osi_t48h_v1.8_balanced_v1_final.txt,e59ecfd4dbe69628105d2706e7937fdfd4d6667d6a3ec8a565fc8e4787256b8b
cv,component,P_t_target_t01h,0,180,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold0.txt,194b9800c2f7758463ae289c8e48640399ff2712c1a4c953f4ba1208ed13470d
cv,component,P_t_target_t01h,1,375,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold1.txt,6078447d9a83574ee035fd59d31391a2253ab1b7101a9b1b040c6b8acf9bc294
cv,component,P_t_target_t01h,2,135,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold2.txt,964b6a4723e987ecfdb248c2584f28de767e0e91ab74198b1da6a4731cab17a6
cv,component,P_t_target_t01h,3,271,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold3.txt,f7015240315019a06ab50c93add8541208bfb7b296500467dd9647afda2d1889
cv,component,P_t_target_t01h,4,197,versions/v1.8/models/cv/lgbm_P_t_t01h_v1.8_balanced_v1_fold4.txt,1ded9fb835dc8ed8e0eae7628e6e0582e4cf93128f1a11cc1371de9b40cb0e71
final,component,P_t_target_t01h,-1,231,versions/v1.8/models/final/lgbm_P_t_t01h_v1.8_balanced_v1_final.txt,77ccc3dc951f0e039872aa48ad0f423255185c48fe125ca32e38923a94d16288
cv,component,N_t_target_t01h,0,21,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold0.txt,30ab0899359e89092bc138dcb06190f06c85cc7fb68f83617a5f67a6ea8dee2b
cv,component,N_t_target_t01h,1,327,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold1.txt,97209b99f9780c39cda1027002dc51a1b49a561dffc8703aaa43e66d582ec64c
cv,component,N_t_target_t01h,2,195,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold2.txt,824dee1c90fdf46aa4714a9f22fc530179201144eeb193b455b5c3a98a4abf1b
cv,component,N_t_target_t01h,3,319,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold3.txt,9bd58c455ef6b97486c48180f0887c849a1f762ca8a22217d7292c7d26f86596
cv,component,N_t_target_t01h,4,206,versions/v1.8/models/cv/lgbm_N_t_t01h_v1.8_balanced_v1_fold4.txt,045dafe985b75320737187dc31b34ff94df51f63e6448b340d30f108f86155cc
final,component,N_t_target_t01h,-1,213,versions/v1.8/models/final/lgbm_N_t_t01h_v1.8_balanced_v1_final.txt,387f582c08e18e668633e1a85c4fd936fdbe0624e9026dd497a1df89f4b1cfe0
cv,component,D_t_target_t01h,0,280,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold0.txt,2f5cb8fe71740944fe229145ed809800c41d86b396b4260bf34aed4e30574114
cv,component,D_t_target_t01h,1,202,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold1.txt,482fa19c6fb558076aa558833f4a41dd6772280f6fdda5f4cdc53350d7875300
cv,component,D_t_target_t01h,2,239,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold2.txt,ce84043ddf8b1b0c70ae393ae10dee1d684ba0ae28e4127323742d9062fa40b3
cv,component,D_t_target_t01h,3,651,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold3.txt,29a654f40c61931aca7c718fef98213558f0d79b03ba55b197832b7135df9f33
cv,component,D_t_target_t01h,4,392,versions/v1.8/models/cv/lgbm_D_t_t01h_v1.8_balanced_v1_fold4.txt,be2cfa9ccfa31c5a550d6cad5f3b4e3068dbc81032d59d2be978dd11bac1d554
final,component,D_t_target_t01h,-1,352,versions/v1.8/models/final/lgbm_D_t_t01h_v1.8_balanced_v1_final.txt,70964acb93fc86519adce6202ec01328a3587b2f266bf128775327198493709e
cv,component,R_t_target_t01h,0,35,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold0.txt,b371c52b5c0e73fc72465fd1755c1a5a0a281e0a25eacb42969beb98aae06af1
cv,component,R_t_target_t01h,1,186,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold1.txt,4a45ae48cbc019a4b9cbca5fa68e7ac33842ba6e265d88a93d91afbe322ebc0a
cv,component,R_t_target_t01h,2,131,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold2.txt,6bf74224f604ab7ee5210e2b81452373549023332afe0b61aaa1339416d37c52
cv,component,R_t_target_t01h,3,67,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold3.txt,efe033def0512c2b4e02cfbacdc208cf5aa75c2ef79092ef4967fe4821182ac9
cv,component,R_t_target_t01h,4,155,versions/v1.8/models/cv/lgbm_R_t_t01h_v1.8_balanced_v1_fold4.txt,acccef854343ac165870568a9a64a3110bf364e0f82f5f618f6bb7c8a81d6315
final,component,R_t_target_t01h,-1,114,versions/v1.8/models/final/lgbm_R_t_t01h_v1.8_balanced_v1_final.txt,0055fd64735be4f7281ed2f290163dda96c5bbec71020ff5de839cd3c4acd49b
cv,component,P_t_target_t06h,0,175,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold0.txt,7e82db541a2736556bd1af765df1abf64002fb13e8b9f2de004c0c45fb035de8
cv,component,P_t_target_t06h,1,35,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold1.txt,eb898158957576f716410cdda3b843bc37ad96c68efb1e983ab1afa0112e857b
cv,component,P_t_target_t06h,2,201,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold2.txt,9fed7bf7959551cd8b41dbe083a7b70fef8306526b82cda94fa0e31c526619ed
cv,component,P_t_target_t06h,3,99,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold3.txt,4d2c40ab69bfa8d4aa4e12b3849345309398882d985dc1b9a7c4be6b456bf902
cv,component,P_t_target_t06h,4,269,versions/v1.8/models/cv/lgbm_P_t_t06h_v1.8_balanced_v1_fold4.txt,a06c579f23e567b5670188cda28ada48d59c38b3458e4bb25803fc0f1dda4bd4
final,component,P_t_target_t06h,-1,155,versions/v1.8/models/final/lgbm_P_t_t06h_v1.8_balanced_v1_final.txt,101384ea630d1dc957f9b356b01404c1316385ad87b965ba3da6291a4182795b
cv,component,N_t_target_t06h,0,25,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold0.txt,0dc148c96ab88c0d9bb0f834c9015172a981f119f384327786b65aa8b3f6ae42
cv,component,N_t_target_t06h,1,94,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold1.txt,d8f8d5b0cd3d66dc193822c8f66068827d09e77e3080e797334e37d634dda388
cv,component,N_t_target_t06h,2,458,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold2.txt,c0a5f599bd1e3113f3a52f5f8403ca46cff9f7dddb628489bed706f4c978a162
cv,component,N_t_target_t06h,3,22,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold3.txt,5d6a960826c1ac6f9a269698baf90a9f7e16507c1aeb743b5fd997d773112a84
cv,component,N_t_target_t06h,4,54,versions/v1.8/models/cv/lgbm_N_t_t06h_v1.8_balanced_v1_fold4.txt,5c7856bdb0905b2c288d03054fe0786c9e00b9b7a8f9ca4b3d354b62ac61bcb6
final,component,N_t_target_t06h,-1,130,versions/v1.8/models/final/lgbm_N_t_t06h_v1.8_balanced_v1_final.txt,14c858648c6628882d8c7e9d461cd3a5c812516f73a6a2e606bb1bc60480a927
cv,component,D_t_target_t06h,0,137,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold0.txt,135a211e2e088b187ffe566207ddec0d19f14699cd2b612d4301248665036332
cv,component,D_t_target_t06h,1,167,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold1.txt,2e6825f67ac8f7697e149e59dd9d5c298a7f52d8291375e37caa6fd0cf89439a
cv,component,D_t_target_t06h,2,582,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold2.txt,3681d72b410a39b1a4e1033f9c5a34913c71db29db45e5097c80b2e369ee1959
cv,component,D_t_target_t06h,3,211,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold3.txt,2b95715ebd37443cf9c9da2f7df896a601176af60fff0a49531b120861ac12cc
cv,component,D_t_target_t06h,4,194,versions/v1.8/models/cv/lgbm_D_t_t06h_v1.8_balanced_v1_fold4.txt,e1e1de819ac79501b89eaf77db3c9e134ffef20eb5aef78fb7d6c0294cfcd41c
final,component,D_t_target_t06h,-1,258,versions/v1.8/models/final/lgbm_D_t_t06h_v1.8_balanced_v1_final.txt,700e13caa3aa27a5dadeca7338e707e97e852112ce740974a699348eb21a3fdc
cv,component,R_t_target_t06h,0,28,versions/v1.8/models/cv/lgbm_R_t_t06h_v1.8_balanced_v1_fold0.txt,97877dbae1c663277c52e34fefce0123ded7f6c65786cc7088573b9654978b6e
cv,component,R_t_target_t06h,1,140,versions/v1.8/models/cv/lgbm_R_t_t06h_v1.8_balanced_v1_fold1.txt,57e08a987e291f38af9e07b419cc2e4f748cdafe45362d4a58a6d21680b95dc9
cv,component,R_t_target_t06h,2,203,versions/v1.8/models/cv/lgbm_R_t_t06h_v1.8_balanced_v1_fold2.txt,b81fdda200bf0611e44a5160229af7f46b75e5b2f4ab60121efde71d5265c19b
cv,component,R_t_target_t06h,3,54,versions/v1.8/models/cv/lgbm_R_t_t06h_v1.8_balanced_v1_fold3.txt,78a7c146138c73b0773c6007240443089e2ea9b11c07c0fd586116a8cfce3d6e
cv,component,R_t_target_t06h,4,330,versions/v1.8/models/cv/lgbm_R_t_t06h_v1.8_balanced_v1_fold4.txt,af79a0cfc8dbe5a9c33cbc12ca89e177664b12affa2f34cade11b5778ac9aa65
final,component,R_t_target_t06h,-1,151,versions/v1.8/models/final/lgbm_R_t_t06h_v1.8_balanced_v1_final.txt,ab905d057078fc91042f9b15f037125f094e84e652d2eaa657a5f47d52dfb523
cv,component,P_t_target_t24h,0,218,versions/v1.8/models/cv/lgbm_P_t_t24h_v1.8_balanced_v1_fold0.txt,743afb7b7003e520a5f225a77e79533148e52e406cd2a83dde362c3f999b7452
cv,component,P_t_target_t24h,1,12,versions/v1.8/models/cv/lgbm_P_t_t24h_v1.8_balanced_v1_fold1.txt,b1eb15b1038e57048b9bf1948a6227a89dc3c41c08a8ca318ea91739694423b7
cv,component,P_t_target_t24h,2,303,versions/v1.8/models/cv/lgbm_P_t_t24h_v1.8_balanced_v1_fold2.txt,177fc736de12622e87fb80e35564241ca8f42a0c758b17a02f600e1336e8612f
cv,component,P_t_target_t24h,3,39,versions/v1.8/models/cv/lgbm_P_t_t24h_v1.8_balanced_v1_fold3.txt,89f9f91314fc5699cc86cb6097baae52c65b0cbc75af95daef10c8be2c293896
cv,component,P_t_target_t24h,4,331,versions/v1.8/models/cv/lgbm_P_t_t24h_v1.8_balanced_v1_fold4.txt,3007d67e62581a9582bf98837670e04876975bd919ebafad21523286fa5d2eda
final,component,P_t_target_t24h,-1,180,versions/v1.8/models/final/lgbm_P_t_t24h_v1.8_balanced_v1_final.txt,a5f444fd024682ea4fe04130fd8f318585d6dab8a6d312e73184b0fbbbf2e936
cv,component,N_t_target_t24h,0,21,versions/v1.8/models/cv/lgbm_N_t_t24h_v1.8_balanced_v1_fold0.txt,34f9e20ee2152f19794091066b0d948c2fa87490423c66db5d1cfc56826b2c54
cv,component,N_t_target_t24h,1,117,versions/v1.8/models/cv/lgbm_N_t_t24h_v1.8_balanced_v1_fold1.txt,b2ae8e574e378c1f838a2f1f4d9156ec9e3c77bcdb4e4373de3ad7d8d62548ef
cv,component,N_t_target_t24h,2,462,versions/v1.8/models/cv/lgbm_N_t_t24h_v1.8_balanced_v1_fold2.txt,d10181392bdb69944e45887bb56cf08b107ea71232d5d831a8ba11c6f0456958
cv,component,N_t_target_t24h,3,26,versions/v1.8/models/cv/lgbm_N_t_t24h_v1.8_balanced_v1_fold3.txt,e7fb6dc618112c70937f4129e9e78535aa630f17f8620b01d193b329d9f89540
cv,component,N_t_target_t24h,4,120,versions/v1.8/models/cv/lgbm_N_t_t24h_v1.8_balanced_v1_fold4.txt,1761d3f5e6f47b72c6b4bd3443d86db675eabd086ca422d6c2f18964f060e24e
final,component,N_t_target_t24h,-1,149,versions/v1.8/models/final/lgbm_N_t_t24h_v1.8_balanced_v1_final.txt,9b330fa49453cdb0e23b88b5cb84fe9da5c08f214869b0862f4e769ca93b48e4
cv,component,D_t_target_t24h,0,142,versions/v1.8/models/cv/lgbm_D_t_t24h_v1.8_balanced_v1_fold0.txt,1fc66996ec8f6818fa0103c075132fac2442140041e606a881af546af145e85a
cv,component,D_t_target_t24h,1,10,versions/v1.8/models/cv/lgbm_D_t_t24h_v1.8_balanced_v1_fold1.txt,fa4b4389df6b41220a0d2ba63b910c1b5529fb08b79dcffd015a873c293afea3
cv,component,D_t_target_t24h,2,358,versions/v1.8/models/cv/lgbm_D_t_t24h_v1.8_balanced_v1_fold2.txt,bd1a4da3a7c4ed3671c1962276c87d3ac89db79f67d541bfc8ffd2eadb7c14ed
cv,component,D_t_target_t24h,3,43,versions/v1.8/models/cv/lgbm_D_t_t24h_v1.8_balanced_v1_fold3.txt,5e3e8050159f367a2d6bf5be2dbbb8061b28d447eb5189fc5652dc31090d53ae
cv,component,D_t_target_t24h,4,443,versions/v1.8/models/cv/lgbm_D_t_t24h_v1.8_balanced_v1_fold4.txt,8798b4dc423227473b6fdef29b5eb3c97b92134fbc3bfd78c0d4528b17bc55d9
final,component,D_t_target_t24h,-1,199,versions/v1.8/models/final/lgbm_D_t_t24h_v1.8_balanced_v1_final.txt,901f62f31486e0f8f4b4b14e08d460c4d1d2101b71ad30f5f2e45abcd3e216a8
cv,component,R_t_target_t24h,0,20,versions/v1.8/models/cv/lgbm_R_t_t24h_v1.8_balanced_v1_fold0.txt,888af2fbaafa83073045a4b27086c83e579c68e10b0d9259d6e8c214b58829ab
cv,component,R_t_target_t24h,1,135,versions/v1.8/models/cv/lgbm_R_t_t24h_v1.8_balanced_v1_fold1.txt,5906596509da7eeac1d820198b4b2275e82354a49133239ab3c7367b7d8367a2
cv,component,R_t_target_t24h,2,161,versions/v1.8/models/cv/lgbm_R_t_t24h_v1.8_balanced_v1_fold2.txt,bc157326cf6ddd03c463a2921e7a164791fbe60c2df76c17b8f575a373a4e5c4
cv,component,R_t_target_t24h,3,13,versions/v1.8/models/cv/lgbm_R_t_t24h_v1.8_balanced_v1_fold3.txt,308eb3555665153bcdc3aba2f72f53dfab144c05e300df4c5125f9b6ef37d736
cv,component,R_t_target_t24h,4,110,versions/v1.8/models/cv/lgbm_R_t_t24h_v1.8_balanced_v1_fold4.txt,e663cd8567e7f978bc98fd5190993e0ce4f7a47633d3213ecbabce217a7797c0
final,component,R_t_target_t24h,-1,87,versions/v1.8/models/final/lgbm_R_t_t24h_v1.8_balanced_v1_final.txt,14ae830f8e6734b008a4241f43720159d34166f54e866bb6dece7dc8f04d4da4
cv,component,P_t_target_t48h,0,310,versions/v1.8/models/cv/lgbm_P_t_t48h_v1.8_balanced_v1_fold0.txt,4760c7f6c0728411896851d63487e507f6fec726125f25e091658550fc3cec15
cv,component,P_t_target_t48h,1,9,versions/v1.8/models/cv/lgbm_P_t_t48h_v1.8_balanced_v1_fold1.txt,313f99bf4eda1041ebe41f22fd933c1c9857cff8dd5ccdc40459e69f709001b3
cv,component,P_t_target_t48h,2,336,versions/v1.8/models/cv/lgbm_P_t_t48h_v1.8_balanced_v1_fold2.txt,43188d7ca3b3e8d622ba76c77e5e542e05dae84789e5f74a77cc7aee3e1d0e02
cv,component,P_t_target_t48h,3,27,versions/v1.8/models/cv/lgbm_P_t_t48h_v1.8_balanced_v1_fold3.txt,448095d27b5ae10c5bda4d8f269a86cbd49164ba9b464035d660da9fbac0d43e
cv,component,P_t_target_t48h,4,194,versions/v1.8/models/cv/lgbm_P_t_t48h_v1.8_balanced_v1_fold4.txt,6710c9b6c22b5259071578cb168721ccd5e7cc0062c214b6430122d2ac8e0f49
final,component,P_t_target_t48h,-1,175,versions/v1.8/models/final/lgbm_P_t_t48h_v1.8_balanced_v1_final.txt,8a2a1f63172d1af9babf27283a8e8062849787e6f6c588430c98886a06154abc
cv,component,N_t_target_t48h,0,142,versions/v1.8/models/cv/lgbm_N_t_t48h_v1.8_balanced_v1_fold0.txt,3efea796687ed71baef5877202ed3c3870587d1ea804954412a18c838ef2182f
cv,component,N_t_target_t48h,1,45,versions/v1.8/models/cv/lgbm_N_t_t48h_v1.8_balanced_v1_fold1.txt,c79d260b2389f6960056bd3cbf4e82a7b63d8a1820f877abce1fdf2e7ff9aed3
cv,component,N_t_target_t48h,2,480,versions/v1.8/models/cv/lgbm_N_t_t48h_v1.8_balanced_v1_fold2.txt,7cd581108e1a78a96958e29c5a441b2adc84ab3ccd2d4ed92ae486c92529041e
cv,component,N_t_target_t48h,3,19,versions/v1.8/models/cv/lgbm_N_t_t48h_v1.8_balanced_v1_fold3.txt,34717d0585b47bafd2968f035cb098c8e28168828a2b90eb10813c8dc15e9e3e
cv,component,N_t_target_t48h,4,79,versions/v1.8/models/cv/lgbm_N_t_t48h_v1.8_balanced_v1_fold4.txt,8a01e6454e8d96e629154f1c1eb872633a0e9f436c09e5c36753e489e12da4c7
final,component,N_t_target_t48h,-1,153,versions/v1.8/models/final/lgbm_N_t_t48h_v1.8_balanced_v1_final.txt,a92ab2d51f600f2978d92ffe148651a9161beae7f23f43bfcde3ba88d4be5952
cv,component,D_t_target_t48h,0,229,versions/v1.8/models/cv/lgbm_D_t_t48h_v1.8_balanced_v1_fold0.txt,9c39575725e37daad4ef038485054cd8d4ef68fc87cba077790f2eea02bc6697
cv,component,D_t_target_t48h,1,15,versions/v1.8/models/cv/lgbm_D_t_t48h_v1.8_balanced_v1_fold1.txt,7ceb40800419299bf65da880864adfb7e6ace5489a2e485c3d206c5c39fd4bea
cv,component,D_t_target_t48h,2,787,versions/v1.8/models/cv/lgbm_D_t_t48h_v1.8_balanced_v1_fold2.txt,cb27a27986e2ef9e274ecb5b6c029246abd215505b7ba58325f2ab9097120c5d
cv,component,D_t_target_t48h,3,33,versions/v1.8/models/cv/lgbm_D_t_t48h_v1.8_balanced_v1_fold3.txt,6e88acdfd27598662efb233cb21f366513bbb381dd09a5d991df94759f42b109
cv,component,D_t_target_t48h,4,180,versions/v1.8/models/cv/lgbm_D_t_t48h_v1.8_balanced_v1_fold4.txt,5b8fce0b5fd9e154979ab4dee32547773ef597cf948bc5aa1e1e68830d6e8dac
final,component,D_t_target_t48h,-1,248,versions/v1.8/models/final/lgbm_D_t_t48h_v1.8_balanced_v1_final.txt,baa8b3d1a8e8296be00971131aa75c12549e36e28e5299fc81f8825ea1976a01
cv,component,R_t_target_t48h,0,30,versions/v1.8/models/cv/lgbm_R_t_t48h_v1.8_balanced_v1_fold0.txt,ea52925e4bebb242f5c60bff382106b07dc82708bdca52029fa17f2a7bdebd5f
cv,component,R_t_target_t48h,1,52,versions/v1.8/models/cv/lgbm_R_t_t48h_v1.8_balanced_v1_fold1.txt,ce3ed876336e454d742fdc6a2d09211c7dc43684dd87057a475d1981e7a61848
cv,component,R_t_target_t48h,2,123,versions/v1.8/models/cv/lgbm_R_t_t48h_v1.8_balanced_v1_fold2.txt,89aaaa32f3a824256483dcddb1e2245952eec56370b941ebe4f3237eee2e49ea
cv,component,R_t_target_t48h,3,23,versions/v1.8/models/cv/lgbm_R_t_t48h_v1.8_balanced_v1_fold3.txt,463c4d9b99fcfc381e87d0f6ddb0886f7ad833513db2e53d8ad1cd7219df3578
cv,component,R_t_target_t48h,4,117,versions/v1.8/models/cv/lgbm_R_t_t48h_v1.8_balanced_v1_fold4.txt,afd05cf791851d27c837040623159493069b3bf38dca735da67e9aafa7311c1a
final,component,R_t_target_t48h,-1,69,versions/v1.8/models/final/lgbm_R_t_t48h_v1.8_balanced_v1_final.txt,8cf44a6f4be9312f59d3773a06b2890e7bb6983d27b99103b9a21acbea597f1f
