cv_seed,fipsCode,countyName,stateAbbr,horizon,target_day,date,variant,true_peak,T_peak,S_peak,T_mean,S_mean,true_mean,P_true_mean,P_pred_mean,nearest_percentile,low_loss_controls,high_loss_controls,control_max_peak,control_max_P_mean
20260917,54041,Lewis County,WV,48,5,2026-03-16,context,0.1199,0.007506764499980159,0.006527428073137025,0.0014942137199614933,0.0017209304174933592,0.016379166666666667,0.022001598875,0.0023008276467648275,29.84293193717277,3,1,0.0522,0.010683312083333334
20260917,54041,Lewis County,WV,48,5,2026-03-16,source_cache_rank,0.1199,0.007506764499980159,0.006527428073137025,0.0014942137199614933,0.0017209304174933592,0.016379166666666667,0.022001598875,0.0023008276467648275,64.92146596858639,0,1,0.191,0.06334688345833334
20260918,54041,Lewis County,WV,48,5,2026-03-16,context,0.1199,0.022179998461309792,0.022179998461309792,0.0029792327219780074,0.0034240830738393904,0.016379166666666667,0.022001598875,0.0056168619397732504,34.031413612565444,1,2,0.0778,0.032336352625
20260918,54041,Lewis County,WV,48,5,2026-03-16,source_cache_rank,0.1199,0.022179998461309792,0.022179998461309792,0.0029792327219780074,0.0034240830738393904,0.016379166666666667,0.022001598875,0.0056168619397732504,61.25654450261781,0,3,0.191,0.06334688345833334
42,39117,Morrow County,OH,1,3,2026-03-14,context,0.5087,0.48650874922825244,,0.29308484442041804,,0.29458260869565217,0.4307427500434784,0.5004956755214865,95.81151832460732,0,5,0.3293,0.3613806573913043
42,39117,Morrow County,OH,1,3,2026-03-14,source_cache_rank,0.5087,0.48650874922825244,,0.29308484442041804,,0.29458260869565217,0.4307427500434784,0.5004956755214865,95.28795811518324,0,4,0.3293,0.3613806573913043
20260917,39117,Morrow County,OH,1,3,2026-03-14,context,0.5087,0.5073716928806861,,0.29322181112473134,,0.29458260869565217,0.4307427500434784,0.5006643167572096,95.28795811518324,0,5,0.3293,0.3613806573913043
20260917,39117,Morrow County,OH,1,3,2026-03-14,source_cache_rank,0.5087,0.5073716928806861,,0.29322181112473134,,0.29458260869565217,0.4307427500434784,0.5006643167572096,90.57591623036649,0,4,0.3293,0.3613806573913043
20260918,39117,Morrow County,OH,1,3,2026-03-14,context,0.5087,0.4994263077203009,,0.29543649393649696,,0.29458260869565217,0.4307427500434784,0.5030675766614607,95.83333333333334,0,5,0.3293,0.3613806573913043
20260918,39117,Morrow County,OH,1,3,2026-03-14,source_cache_rank,0.5087,0.4994263077203009,,0.29543649393649696,,0.29458260869565217,0.4307427500434784,0.5030675766614607,89.0625,0,4,0.3293,0.3613806573913043
42,42131,Wyoming County,PA,6,3,2026-03-14,context,0.1648,0.002539004667802592,,0.000459870194516885,,0.021305555555555557,0.02588393661111111,0.0009550251295183442,42.40837696335078,5,0,0.0042,0.003177275222222222
42,42131,Wyoming County,PA,6,3,2026-03-14,source_cache_rank,0.1648,0.002539004667802592,,0.000459870194516885,,0.021305555555555557,0.02588393661111111,0.0009550251295183442,68.06282722513089,5,0,0.0033,0.0010674789444444445
20260917,42131,Wyoming County,PA,6,3,2026-03-14,context,0.1648,0.0036499480617886407,,0.00042145535848345543,,0.021305555555555557,0.02588393661111111,0.0007714125709568387,43.97905759162304,4,0,0.0172,0.015720664611111112
20260917,42131,Wyoming County,PA,6,3,2026-03-14,source_cache_rank,0.1648,0.0036499480617886407,,0.00042145535848345543,,0.021305555555555557,0.02588393661111111,0.0007714125709568387,64.3979057591623,5,0,0.006,0.003277468111111111
20260918,42131,Wyoming County,PA,6,3,2026-03-14,context,0.1648,0.0018552162312577359,,0.00018768638173615067,,0.021305555555555557,0.02588393661111111,0.00029163197274881036,43.75,4,0,0.0172,0.015720664611111112
20260918,42131,Wyoming County,PA,6,3,2026-03-14,source_cache_rank,0.1648,0.0018552162312577359,,0.00018768638173615067,,0.021305555555555557,0.02588393661111111,0.00029163197274881036,58.333333333333336,5,0,0.006,0.003277468111111111
