role,feature_set,component,candidate,horizon,stage,fold,rounds,path,sha256
cv,base,P_t,l2,osi_target_t06h,regression,4.0,269,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t06h_regression_v1.9_balanced_v1_fold4.txt,33b9b8e2fd47acb366beeb06ce98a70c6fa3557f827b4c4a75ff50a9714e4d81
final,base,P_t,l2,osi_target_t06h,regression,,155,versions/v1.9/models/final/lgbm_base_P_t_l2_osi_t06h_regression_v1.9_balanced_v1_final.txt,6cc0d4827fb18ec7fd95a9f5e858c3387a23797ddbec56dc64b81968a028d8db
cv,base,P_t,l2,osi_target_t24h,regression,0.0,218,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t24h_regression_v1.9_balanced_v1_fold0.txt,217cfefda60764be70471825840e9e0f6e8df1a9fb8411e36e77e3d239c9ee12
cv,base,P_t,l2,osi_target_t24h,regression,1.0,12,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t24h_regression_v1.9_balanced_v1_fold1.txt,a12d1c2768e2df22684e61c375e57ad30fdea1ebd166b79891d986cd12d25936
cv,base,P_t,l2,osi_target_t24h,regression,2.0,303,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t24h_regression_v1.9_balanced_v1_fold2.txt,17e940ec980d55c655f53aaa1e95c5b0b66283bb548c35ce915ad7450a854516
cv,base,P_t,l2,osi_target_t24h,regression,3.0,39,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t24h_regression_v1.9_balanced_v1_fold3.txt,9dfdb527ff5189c46b026918eeda28e695105e542248c15e42056dc253955cc9
cv,base,P_t,l2,osi_target_t24h,regression,4.0,331,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t24h_regression_v1.9_balanced_v1_fold4.txt,ea4699e0f564f3bc5b6ae8eb1e64fbf575d4ba6225695f7664d8bc9b4f046fd7
final,base,P_t,l2,osi_target_t24h,regression,,180,versions/v1.9/models/final/lgbm_base_P_t_l2_osi_t24h_regression_v1.9_balanced_v1_final.txt,7f996a661b01081d2b58711bc665304701b2918504982bf4b79dd7210179f7d1
cv,base,P_t,l2,osi_target_t48h,regression,0.0,310,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t48h_regression_v1.9_balanced_v1_fold0.txt,963dc2fe91a141d2b14f8549f87cac8f471efde3122e8e31c8648986415dc659
cv,base,P_t,l2,osi_target_t48h,regression,1.0,9,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t48h_regression_v1.9_balanced_v1_fold1.txt,0525a29028a41a35107021db85577d4d54b155e1cfaa1ae8586735ff3f49252e
cv,base,P_t,l2,osi_target_t48h,regression,2.0,336,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t48h_regression_v1.9_balanced_v1_fold2.txt,8eeb9a8c87c429740b12334f250d0606691d1c620791997ba32386fc6d0a38a6
cv,base,P_t,l2,osi_target_t48h,regression,3.0,27,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t48h_regression_v1.9_balanced_v1_fold3.txt,012d9d4717185b17a6d6ec2ef6cb9c5c411f86861db0333dde69918d9598bef7
cv,base,P_t,l2,osi_target_t48h,regression,4.0,194,versions/v1.9/models/cv/lgbm_base_P_t_l2_osi_t48h_regression_v1.9_balanced_v1_fold4.txt,3d434c3767548eface51ae245a797941582f45b991222da1ffbde6901bdf88bc
final,base,P_t,l2,osi_target_t48h,regression,,175,versions/v1.9/models/final/lgbm_base_P_t_l2_osi_t48h_regression_v1.9_balanced_v1_final.txt,41e81fdb7d2852c695ee9f8011fd3c92c39852061811370018dbf1ac8b7ac52f
cv,base,P_t,weighted_l2,osi_target_t01h,regression,0.0,100,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t01h_regression_v1.9_balanced_v1_fold0.txt,a36075add2d002f7de49c5a441543843581c7ebbd327f547d43195da1b6cd8c1
cv,base,P_t,weighted_l2,osi_target_t01h,regression,1.0,206,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t01h_regression_v1.9_balanced_v1_fold1.txt,8109a7e61fd73f19be985d3ad895ebcc81db8a21f4b4969798ff2423361f1561
cv,base,P_t,weighted_l2,osi_target_t01h,regression,2.0,244,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t01h_regression_v1.9_balanced_v1_fold2.txt,a9059a711d68a41f9bd39cc033e575cd748a7d1b9f139815837261c0e7e8c3f8
cv,base,P_t,weighted_l2,osi_target_t01h,regression,3.0,141,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t01h_regression_v1.9_balanced_v1_fold3.txt,3745c71bb32439aeb2179bda83135bf9d4c5a65ccfc6a077a346bfce1a6e0f4b
cv,base,P_t,weighted_l2,osi_target_t01h,regression,4.0,190,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t01h_regression_v1.9_balanced_v1_fold4.txt,e56e384b98d3d22ec295293440a9cef52e99ac892cb4cdee48b69d3fc10e681b
final,base,P_t,weighted_l2,osi_target_t01h,regression,,176,versions/v1.9/models/final/lgbm_base_P_t_weighted_l2_osi_t01h_regression_v1.9_balanced_v1_final.txt,8e6aee677bc79fa1059cfcc8750c350ca94fc7c2611d23187eeeba9b654830a3
cv,base,P_t,weighted_l2,osi_target_t06h,regression,0.0,265,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t06h_regression_v1.9_balanced_v1_fold0.txt,5bfbcd96c67bd7b110288bea859677fb1fe31ce6e02247eed1a3ca23aab1b9de
cv,base,P_t,weighted_l2,osi_target_t06h,regression,1.0,51,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t06h_regression_v1.9_balanced_v1_fold1.txt,afc95205fc9fcdc96e7044ebe2110e0a71c53577cf19b1437fa443a3e54a2ff0
cv,base,P_t,weighted_l2,osi_target_t06h,regression,2.0,286,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t06h_regression_v1.9_balanced_v1_fold2.txt,5c12d4fe23d084dcd99353da3715948255aefc05acb92833fdb0ed90a0283e73
cv,base,P_t,weighted_l2,osi_target_t06h,regression,3.0,349,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t06h_regression_v1.9_balanced_v1_fold3.txt,c2a278c496a613ca236815ec58f5b68608af71531b7a9641a7299a88dfb7e1a4
cv,base,P_t,weighted_l2,osi_target_t06h,regression,4.0,181,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t06h_regression_v1.9_balanced_v1_fold4.txt,27577a22937e198a3beb1913b8f0a9fec1166fb39d4986ec0b15269f8d16fb1d
final,base,P_t,weighted_l2,osi_target_t06h,regression,,226,versions/v1.9/models/final/lgbm_base_P_t_weighted_l2_osi_t06h_regression_v1.9_balanced_v1_final.txt,f9d18967097330f40b2c87bbefad330409adfd47c34d66b5fc2e76d638138933
cv,base,P_t,weighted_l2,osi_target_t24h,regression,0.0,170,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t24h_regression_v1.9_balanced_v1_fold0.txt,2e98293fbcdadba16572feff26dd0963fe15d905d0d1e25decc620ae6866595d
cv,base,P_t,weighted_l2,osi_target_t24h,regression,1.0,22,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t24h_regression_v1.9_balanced_v1_fold1.txt,453d309bd7909ec5426e5b3215ffe4940f0f7701edaf15b52a76c07d9e2bbb34
cv,base,P_t,weighted_l2,osi_target_t24h,regression,2.0,342,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t24h_regression_v1.9_balanced_v1_fold2.txt,d7dbfd062d104cb87c53473a62977f3a94c01cdae12c3fe564bbe7e6091858ac
cv,base,P_t,weighted_l2,osi_target_t24h,regression,3.0,178,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t24h_regression_v1.9_balanced_v1_fold3.txt,2c3680e7cf3ac2d134c7542f5c70b50776534365dfcb56a2181ad7c48d77f9de
cv,base,P_t,weighted_l2,osi_target_t24h,regression,4.0,147,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t24h_regression_v1.9_balanced_v1_fold4.txt,d480770bec51c6a2a9bd176b8d431b2e45cf00e43b6700b2a3738bc6ad1d453f
final,base,P_t,weighted_l2,osi_target_t24h,regression,,171,versions/v1.9/models/final/lgbm_base_P_t_weighted_l2_osi_t24h_regression_v1.9_balanced_v1_final.txt,a49d19319958c03388877d4ffb8afe57364a0d18860c9dde4a3954d8318a3f0d
cv,base,P_t,weighted_l2,osi_target_t48h,regression,0.0,345,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t48h_regression_v1.9_balanced_v1_fold0.txt,8c895690636d5737ca6081cdcd443b41e1336b0122282710c07fe97726a797be
cv,base,P_t,weighted_l2,osi_target_t48h,regression,1.0,19,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t48h_regression_v1.9_balanced_v1_fold1.txt,7e616392520ba20136208e45cf07904cd80b0675a18394210e9cf1d1e9cc127c
cv,base,P_t,weighted_l2,osi_target_t48h,regression,2.0,529,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t48h_regression_v1.9_balanced_v1_fold2.txt,39590d437cfc6670fa3ac881ffff5b27917900bf89c55a7538444b348f18f4d2
cv,base,P_t,weighted_l2,osi_target_t48h,regression,3.0,26,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t48h_regression_v1.9_balanced_v1_fold3.txt,2ff8e04b1945e7c5d339ce43c0e5860ed034a1a0bea750ae3dd346819cc434e7
cv,base,P_t,weighted_l2,osi_target_t48h,regression,4.0,117,versions/v1.9/models/cv/lgbm_base_P_t_weighted_l2_osi_t48h_regression_v1.9_balanced_v1_fold4.txt,c62463049d967c876e388429df5b95bf8702af3ad7af7933831019277aafa938
final,base,P_t,weighted_l2,osi_target_t48h,regression,,207,versions/v1.9/models/final/lgbm_base_P_t_weighted_l2_osi_t48h_regression_v1.9_balanced_v1_final.txt,c439c919acb9c60614975e1df0b482761ee428c6f7693e09a6001089c40939cd
cv,base,N_t,tweedie,osi_target_t01h,regression,0.0,266,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t01h_regression_v1.9_balanced_v1_fold0.txt,b6af181c880092059eb623692686a0ed1374a279f63fc5c23375869f7f79d449
cv,base,N_t,tweedie,osi_target_t01h,regression,1.0,195,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t01h_regression_v1.9_balanced_v1_fold1.txt,449f84d0a96e40ffa8d7c93506e9a31e540e9fa9b09a118a9c3609fa5568c3a3
cv,base,N_t,tweedie,osi_target_t01h,regression,2.0,221,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t01h_regression_v1.9_balanced_v1_fold2.txt,83bf94050b0027c68ac3bc19cd9adecdaeae68148cbb07dcc2fb1bb9c62159c9
cv,base,N_t,tweedie,osi_target_t01h,regression,3.0,86,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t01h_regression_v1.9_balanced_v1_fold3.txt,2dda95635c7cbaf6e0d75928aaa700cf63027f7c6e27eb90ec7233ee51e226e4
cv,base,N_t,tweedie,osi_target_t01h,regression,4.0,163,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t01h_regression_v1.9_balanced_v1_fold4.txt,36e387c3748710dc9973e19b977230735425b2100751755a68717575fd96ad5e
final,base,N_t,tweedie,osi_target_t01h,regression,,186,versions/v1.9/models/final/lgbm_base_N_t_tweedie_osi_t01h_regression_v1.9_balanced_v1_final.txt,b7669781a7dacbe9fd8c07a54f6b4fc5bb5ab9ae85097d0de693af18ce6fc6b2
cv,base,N_t,tweedie,osi_target_t06h,regression,0.0,237,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t06h_regression_v1.9_balanced_v1_fold0.txt,e409bce117e766108ccd6da2b9d52f103569c15d3ece7e9feaaac538c0e5870c
cv,base,N_t,tweedie,osi_target_t06h,regression,1.0,105,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t06h_regression_v1.9_balanced_v1_fold1.txt,f6231a8507247840f45fd1600fbf5383f5004b99b4cbcdbd1c36b6657833088c
cv,base,N_t,tweedie,osi_target_t06h,regression,2.0,145,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t06h_regression_v1.9_balanced_v1_fold2.txt,6bc950afcd8e0b7bc7dfedcf767d534e35902273792a51bf423da0f59c3043a1
cv,base,N_t,tweedie,osi_target_t06h,regression,3.0,88,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t06h_regression_v1.9_balanced_v1_fold3.txt,02b54b61de7d47ffeed750906bf75879a733996a5d7d1f3b3705d65489187cd2
cv,base,N_t,tweedie,osi_target_t06h,regression,4.0,108,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t06h_regression_v1.9_balanced_v1_fold4.txt,8a6baebad5212e6b86a3e2fcf496fef552efcf65f7b7af6692c5667e1751a869
final,base,N_t,tweedie,osi_target_t06h,regression,,136,versions/v1.9/models/final/lgbm_base_N_t_tweedie_osi_t06h_regression_v1.9_balanced_v1_final.txt,17ce758b50a1470c5eff238df6ee0e01bad1078b433f392a73ceb94af58a57de
cv,base,N_t,tweedie,osi_target_t24h,regression,0.0,265,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t24h_regression_v1.9_balanced_v1_fold0.txt,d6c8f84fcea101a29a72c70e36dc3e082ec103478a9b2db1e7e0d41b52d7e525
cv,base,N_t,tweedie,osi_target_t24h,regression,1.0,107,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t24h_regression_v1.9_balanced_v1_fold1.txt,baa8180a4b6e7ee3d650454968dd3ea247134d1cd9d5f872c25e641014f0a643
cv,base,N_t,tweedie,osi_target_t24h,regression,2.0,149,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t24h_regression_v1.9_balanced_v1_fold2.txt,e0f61e5cb7e2757de58560de177bc9c1afa2ff5a894c13de8c9d3d8770734f72
cv,base,N_t,tweedie,osi_target_t24h,regression,3.0,77,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t24h_regression_v1.9_balanced_v1_fold3.txt,13f19fb07bb83dbe0768f02c5128288f161ca48bcc85a8a5edd853cc476685f1
cv,base,N_t,tweedie,osi_target_t24h,regression,4.0,170,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t24h_regression_v1.9_balanced_v1_fold4.txt,77e7c1bed9cc1d3fe15f109b2409897dcfe5dfc9b6cf98383ed1a2fcaccf1278
final,base,N_t,tweedie,osi_target_t24h,regression,,153,versions/v1.9/models/final/lgbm_base_N_t_tweedie_osi_t24h_regression_v1.9_balanced_v1_final.txt,c91709d70aa83df1c3fd06555b5899d6e1eb9d214e8b3b34798e8aa5e67de9a6
cv,base,N_t,tweedie,osi_target_t48h,regression,0.0,249,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t48h_regression_v1.9_balanced_v1_fold0.txt,a437ea36d820ab071cd06cfe295b325f0973771d58cbc77a2b1d94555bab21b1
cv,base,N_t,tweedie,osi_target_t48h,regression,1.0,50,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t48h_regression_v1.9_balanced_v1_fold1.txt,b1a6b4db8eebe238b0e043c7313e35288186aedf0cd746c8d6a03b25e945f3b7
cv,base,N_t,tweedie,osi_target_t48h,regression,2.0,205,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t48h_regression_v1.9_balanced_v1_fold2.txt,16223027ba169fd7e7dc30dbc469d2be471dd9de09efd561da12251200bc5f3b
cv,base,N_t,tweedie,osi_target_t48h,regression,3.0,85,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t48h_regression_v1.9_balanced_v1_fold3.txt,daa6d85d9f386597dcc7ed73918c0a86930a0f3c7cb00e5416a01d86266291e2
cv,base,N_t,tweedie,osi_target_t48h,regression,4.0,100,versions/v1.9/models/cv/lgbm_base_N_t_tweedie_osi_t48h_regression_v1.9_balanced_v1_fold4.txt,3d7ef5270fcdd8761d711408f9ecb5dd215e21c1225ae9ceb4f74b54d4bd32c7
final,base,N_t,tweedie,osi_target_t48h,regression,,137,versions/v1.9/models/final/lgbm_base_N_t_tweedie_osi_t48h_regression_v1.9_balanced_v1_final.txt,fcd58b2cddeee14a0c5324d8ee3ed7c3a2bca07d15b06eb91a0565db40309b14
cv,base,N_t,hurdle,osi_target_t01h,classification,0.0,128,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_classification_v1.9_balanced_v1_fold0.txt,bb9d7fcbb686871a0ed078d00fe60753ec8de1dfe0614a9d4553b6decd9092bf
cv,base,N_t,hurdle,osi_target_t01h,magnitude,0.0,420,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_magnitude_v1.9_balanced_v1_fold0.txt,8b64a58350ab2e8aa7498e3aba623c6707276b730de11f66559ae115815e1a42
cv,base,N_t,hurdle,osi_target_t01h,classification,1.0,131,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_classification_v1.9_balanced_v1_fold1.txt,3878365d109131e11354caf6d9198eb86547de2cb0205561b2e987ee3ef16d58
cv,base,N_t,hurdle,osi_target_t01h,magnitude,1.0,89,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_magnitude_v1.9_balanced_v1_fold1.txt,6d2db5f2447e3dd7323020693c9941e02e4273563b7ae6ca48c20f4e147c3561
cv,base,N_t,hurdle,osi_target_t01h,classification,2.0,185,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_classification_v1.9_balanced_v1_fold2.txt,9fb1136311c8f873cf2f4407fe3979065980c020e62673bd0a5a477e7515c4e4
cv,base,N_t,hurdle,osi_target_t01h,magnitude,2.0,452,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_magnitude_v1.9_balanced_v1_fold2.txt,3790d1ab08bc31070c7ccb30b5a9f2085890d43f6141ef5fa9bf39a2d863485e
cv,base,N_t,hurdle,osi_target_t01h,classification,3.0,87,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_classification_v1.9_balanced_v1_fold3.txt,2faf4bb1b14ed52ffb0277694c477ae14e6aec875d12ef29cf543a0928d580a8
cv,base,N_t,hurdle,osi_target_t01h,magnitude,3.0,138,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_magnitude_v1.9_balanced_v1_fold3.txt,0ffba061a44569cc78424930e8b8661e109bb40ef88e117a088a7c9784034e70
cv,base,N_t,hurdle,osi_target_t01h,classification,4.0,202,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_classification_v1.9_balanced_v1_fold4.txt,336364508972e75ec25257df6490c8e00e8328e0dbe9bf7d7a0396fade2d6c90
cv,base,N_t,hurdle,osi_target_t01h,magnitude,4.0,112,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t01h_magnitude_v1.9_balanced_v1_fold4.txt,026b51eeb8ddcf7705f86d107f89226465649b856e6377b8b0cdefb7e7995540
final,base,N_t,hurdle,osi_target_t01h,classification,,146,versions/v1.9/models/final/lgbm_base_N_t_hurdle_osi_t01h_classification_v1.9_balanced_v1_final.txt,d3f8a9ec9d0055cd04b91a26b92bace23caa93cc1a7e1f08becfe02ae9b67908
final,base,N_t,hurdle,osi_target_t01h,magnitude,,242,versions/v1.9/models/final/lgbm_base_N_t_hurdle_osi_t01h_magnitude_v1.9_balanced_v1_final.txt,220b8a4d9542e4a108d308183d83cb30b4d1ec227083ac5c0fda067563c8d128
cv,base,N_t,hurdle,osi_target_t06h,classification,0.0,172,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_classification_v1.9_balanced_v1_fold0.txt,eeac23aadfe22130ab03c90796fcec6ccb32c62f2979d7474d007002844e065e
cv,base,N_t,hurdle,osi_target_t06h,magnitude,0.0,935,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_magnitude_v1.9_balanced_v1_fold0.txt,b05b0e68faadc580c7560e80c8b6f3aa718c5fe3cf3e655aa3cd6e1bd6ab8c1d
cv,base,N_t,hurdle,osi_target_t06h,classification,1.0,80,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_classification_v1.9_balanced_v1_fold1.txt,007b39c223499f1a40e4c48793e994b1ace74a55147c4841a841dc2c578c6383
cv,base,N_t,hurdle,osi_target_t06h,magnitude,1.0,70,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_magnitude_v1.9_balanced_v1_fold1.txt,6ef8748c0632ba10117778ee9c7d7969b468f5a14033f03d306ac396dd5b37e0
cv,base,N_t,hurdle,osi_target_t06h,classification,2.0,172,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_classification_v1.9_balanced_v1_fold2.txt,82656564f6af820fcaaf4011ab1f963675aa8ed589cdd2706e5bca6f90ec84b5
cv,base,N_t,hurdle,osi_target_t06h,magnitude,2.0,172,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_magnitude_v1.9_balanced_v1_fold2.txt,167f0992245369d7c683b27dcbf0e233d97da7ca3ddd367fbf33d13543c1d362
cv,base,N_t,hurdle,osi_target_t06h,classification,3.0,154,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_classification_v1.9_balanced_v1_fold3.txt,1d2448e22de7ef2b2bd7a9c1a8f220eece82d89deae491e4cc9f363ff0538bef
cv,base,N_t,hurdle,osi_target_t06h,magnitude,3.0,147,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_magnitude_v1.9_balanced_v1_fold3.txt,122217e190383e61629b809a3d31297e2a191306dd1206248cf1046b712852ed
cv,base,N_t,hurdle,osi_target_t06h,classification,4.0,109,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_classification_v1.9_balanced_v1_fold4.txt,c2025ed75784043a92226b7164456aa42a33b374eb0ad4ae216613b0da5e26b3
cv,base,N_t,hurdle,osi_target_t06h,magnitude,4.0,189,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t06h_magnitude_v1.9_balanced_v1_fold4.txt,84f8dd871a7c52a4dbdbd01bb6a632de63dba500242b7918d72b48aa6cbd5cd7
final,base,N_t,hurdle,osi_target_t06h,classification,,137,versions/v1.9/models/final/lgbm_base_N_t_hurdle_osi_t06h_classification_v1.9_balanced_v1_final.txt,099a179eab9719beecd1ed3714bf3314d405484b9ef8cafede419834e4c17d19
final,base,N_t,hurdle,osi_target_t06h,magnitude,,302,versions/v1.9/models/final/lgbm_base_N_t_hurdle_osi_t06h_magnitude_v1.9_balanced_v1_final.txt,c86d02f3f01123196d5608b1668479e499c199cffc781e149ac940e8521386b9
cv,base,N_t,hurdle,osi_target_t24h,classification,0.0,128,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_classification_v1.9_balanced_v1_fold0.txt,c1d279c1d646ca57931ac2a69cd37f20d855758ec11ccf3762096e04394762ce
cv,base,N_t,hurdle,osi_target_t24h,magnitude,0.0,368,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_magnitude_v1.9_balanced_v1_fold0.txt,940c8a4b998d70bd9bafd3193895058ccfdf5034e7cf0b8de6bd6c8157c51d1a
cv,base,N_t,hurdle,osi_target_t24h,classification,1.0,111,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_classification_v1.9_balanced_v1_fold1.txt,f2b0c5f8d863ef45970d38d3366c27b21c5b0b1d5664d4649cd7e60c1c19cefa
cv,base,N_t,hurdle,osi_target_t24h,magnitude,1.0,102,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_magnitude_v1.9_balanced_v1_fold1.txt,574e66b542823820aee58c1c5611179468ab917984a459c5c8a7aad7d242369b
cv,base,N_t,hurdle,osi_target_t24h,classification,2.0,199,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_classification_v1.9_balanced_v1_fold2.txt,4495837daab8ee8a1870a0fd321094a0333b59e68ef59645bdae38624b037c12
cv,base,N_t,hurdle,osi_target_t24h,magnitude,2.0,253,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_magnitude_v1.9_balanced_v1_fold2.txt,3f2c4c5c13cae554cf3cd66b86172cf38c55b4c8ddc9a0d5e0f4d46716fc9133
cv,base,N_t,hurdle,osi_target_t24h,classification,3.0,95,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_classification_v1.9_balanced_v1_fold3.txt,3167b92f8ef85a2e0f6c9027443278ca752c478af60063d73b0e948cdb5e6ba3
cv,base,N_t,hurdle,osi_target_t24h,magnitude,3.0,144,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_magnitude_v1.9_balanced_v1_fold3.txt,51f2bc9e3602254e99be562317a8eea31e126d6fcfe4ef6bd10fd092d96e3348
cv,base,N_t,hurdle,osi_target_t24h,classification,4.0,160,versions/v1.9/models/cv/lgbm_base_N_t_hurdle_osi_t24h_classification_v1.9_balanced_v1_fold4.txt,ed38229daaf6cfacde847db9cab903980208813234384e8aaa6219862d9ccd3a
